"구별","1월","2월","3월","4월","5월","6월","7월","8월","9월","10월","11월","12월"
양천구,128,78,115,89,102,101,81,104,104,97,89,116
"",91,106,141,87,108,109,122,117,110,104,66,99
"",169,132,101,133,120,105,136,141,142,115,102,140
영등포구,50,85,68,73,73,98,102,93,84,50,38,62
"",16,14,5,12,9,28,4,9,14,15,5,19
"",6,25,1,0,16,4,1,14,3,4,2,2
"",9,5,1,7,8,6,14,7,4,13,12,17
"",8,13,6,5,10,1,7,5,4,6,20,10
"",9,15,7,7,4,6,10,6,6,5,3,21
"",12,10,4,5,2,1,4,11,7,13,5,6
"",57,68,46,87,62,52,72,82,49,57,64,54
"",10,17,20,13,22,10,26,27,18,13,24,18
"",5,1,1,4,12,5,3,4,1,0,0,0
"",6,7,2,6,0,3,10,0,6,0,7,2
"",12,11,15,12,44,22,21,13,4,11,6,18
"",0,0,8,0,2,2,2,5,4,1,1,1
"",3,11,3,1,1,5,17,3,5,9,12,6
"",5,5,4,6,23,5,8,6,3,1,12,3
"",80,65,83,79,74,67,66,85,76,69,64,75
"",7,6,7,9,3,12,8,7,9,7,4,12
"",11,1,2,11,7,2,1,2,4,0,2,0
"",5,2,5,6,10,4,1,10,4,8,1,24
"",12,9,14,8,7,14,16,17,24,9,3,20
"",5,7,14,10,11,7,7,9,12,18,18,11
"",17,2,9,10,10,20,2,6,2,2,1,5
"",1,6,2,8,4,9,6,2,2,5,7,8
"",18,6,17,28,9,22,24,7,27,5,34,17
"",120,64,96,130,144,119,188,169,128,130,102,92
"",18,22,17,17,22,15,24,14,34,16,24,23
"",6,8,7,11,12,5,5,3,6,1,4,4
"",21,11,8,31,10,6,11,12,1,3,4,14
"",17,13,17,14,11,10,29,8,16,14,16,12
"",10,5,5,6,8,9,19,6,1,13,4,8
"",1,12,2,10,2,6,5,5,5,3,8,8
"",4,8,0,0,0,1,8,6,0,4,4,4
"",18,9,4,22,10,9,5,11,11,10,16,10
"",2,6,5,10,1,6,11,12,3,7,6,3
용산구,1,2,5,7,4,6,12,3,14,2,5,1
"",0,6,5,2,2,13,0,2,0,1,0,5
"",2,0,3,2,0,6,6,0,1,1,0,6
"",6,4,2,6,5,1,6,2,0,6,3,5
"",9,9,22,31,14,20,12,12,12,11,11,9
"",3,0,1,3,2,2,2,0,3,2,2,8
"",25,23,34,16,18,17,12,17,11,14,11,39
"",0,1,1,0,3,4,1,0,4,1,4,0
"",6,7,4,12,4,11,7,10,2,4,6,25
"",8,10,22,17,8,8,10,5,11,3,7,13
"",0,1,3,0,0,6,6,2,1,1,0,0
"",3,0,0,2,0,0,0,0,0,1,0,7
"",4,5,7,2,5,2,6,12,8,1,0,10
"",0,2,0,1,1,1,1,0,0,3,2,2
"",23,11,10,17,14,4,20,9,4,10,11,17
"",0,1,2,5,4,0,2,0,3,0,0,0
"",5,0,2,1,3,0,0,0,1,1,0,0
"",1,0,1,2,0,5,2,0,0,0,1,2
"",0,0,2,6,5,3,4,6,12,6,5,8
"",6,4,7,5,4,3,9,3,15,4,9,4
"",0,5,0,4,8,3,3,8,3,3,1,5
"",0,4,0,1,11,1,3,1,1,1,5,3
"",1,6,11,2,2,1,8,7,4,5,3,0
"",64,76,79,84,67,115,75,63,55,42,33,45
"",39,26,37,18,17,45,35,52,45,41,29,37
"",0,2,0,0,0,3,1,0,4,0,9,1
"",1,4,2,0,1,0,0,0,2,0,0,3
"",5,4,4,4,2,2,8,7,5,4,1,7
"",1,5,2,14,9,2,2,3,5,4,8,6
"",1,8,13,4,11,2,5,11,1,2,4,1
"",2,8,7,15,6,3,7,8,0,5,18,6
"",17,12,24,9,17,16,8,17,9,7,3,8
"",8,21,12,17,24,23,20,8,11,27,14,12
"",85,61,78,86,104,68,75,88,84,109,56,72
"",12,5,6,11,18,14,2,6,3,7,3,12
"",15,18,31,23,17,14,11,17,13,15,24,32
은평구,31,42,28,34,28,38,36,54,53,50,48,48
"",26,39,19,16,12,33,15,34,17,27,18,25
"",32,21,20,27,5,16,43,40,44,31,51,37
"",28,18,38,49,27,38,35,28,36,41,32,46
"",65,31,58,73,70,71,58,62,52,56,68,49
"",19,15,7,15,10,14,27,13,21,18,34,17
"",36,40,15,35,41,37,33,23,34,65,44,56
"",35,51,42,23,46,41,42,21,26,41,18,43
"",37,56,63,47,76,60,49,61,73,97,55,86
"",28,25,23,17,13,23,6,25,15,15,11,21
"",61,65,80,58,42,61,64,70,51,56,53,68
종로구,0,1,0,0,0,1,1,2,0,0,0,0
"",1,2,1,0,0,3,2,2,3,8,0,1
"",1,0,1,2,1,5,1,2,2,5,1,0
"",2,2,2,0,1,0,1,7,6,0,8,1
"",3,1,0,0,0,0,0,0,1,1,0,1
"",0,3,4,3,1,1,2,2,3,0,1,2
"",16,3,3,9,14,3,3,10,1,2,9,5
"",4,4,8,0,4,0,8,1,1,4,5,4
"",0,0,0,0,2,0,0,0,0,0,0,0
"",0,0,0,0,0,1,4,0,6,0,0,0
"",16,27,9,7,14,14,24,33,19,16,21,11
"",0,0,0,0,0,0,0,0,1,0,0,0
"",0,0,0,0,0,1,2,1,7,1,0,0
"",7,10,7,4,13,2,7,1,1,2,1,1
"",5,1,7,1,0,2,0,2,9,1,1,2
"",0,1,0,2,1,0,1,0,0,0,0,3
"",10,0,1,2,0,3,3,6,3,4,1,0
"",1,0,2,0,3,1,0,5,1,0,0,0
"",1,6,0,2,10,1,0,2,0,7,0,0
"",1,0,0,0,0,0,0,1,1,0,0,0
"",5,2,4,0,1,4,0,2,5,8,12,4
"",6,6,5,5,12,6,17,12,9,9,3,9
"",0,1,3,1,10,2,9,6,7,9,7,14
"",3,0,7,3,6,4,0,1,8,8,1,4
"",4,1,10,7,10,7,8,8,5,4,10,7
"",1,0,2,4,1,1,6,5,7,0,2,2
