"Column1","월","자치구","진동_x(g)","진동_y(g)","진동_z(g)"
39,"02월",서초구,0.02513233835357295,0.06651827037278804,1.0424640378122751
40,"02월",성동구,0.02556269637150014,0.06025502294678494,1.0400532799425715
41,"02월",성북구,0.019751747509754176,0.0469372860571341,1.0435871662876366
42,"02월",송파구,0.025430818859862033,0.05626137148378314,1.0426872601781147
43,"02월",양천구,0.026934348994181675,0.05341955128510764,1.0410451436388721
44,"02월",영등포구,0.024537916607285153,0.050900124631077716,1.0509032002579992
45,"02월",용산구,0.02515202796980065,0.056917072369072494,1.0377121031372765
46,"02월",은평구,0.02850795305582202,0.05983456941844065,1.0515527953340684
47,"02월",종로구,0.03126110564659453,0.04798631188457593,1.0433202380323687
48,"02월",중구,0.023010264446480487,0.06062373586759479,1.0393175637725696
49,"02월",중랑구,0.027379275278803933,0.061997043708846795,1.046627141595601
50,"03월",강남구,0.03028040747196936,0.06927906018900465,1.0301714175809547
51,"03월",강동구,0.02537854173970626,0.05598855613083416,1.0139667613639045
52,"03월",강북구,0.025487609773980638,0.05322294687245531,1.033915677115843
53,"03월",강서구,0.025805761238321113,0.05457209197415136,1.0387135463853665
54,"03월",관악구,0.025601010160169524,0.0609306226132801,1.0328064056918698
55,"03월",광진구,0.02696550080808335,0.05710466283423855,1.0329741252915416
56,"03월",구로구,0.027212040529519383,0.06641093217301551,1.0411402863822727
57,"03월",금천구,0.021251700498586382,0.05703378357959752,1.0450433462144852
58,"03월",노원구,0.029034917111773043,0.05853498429082288,1.0251529583159404
59,"03월",도봉구,0.025498660985978975,0.07255908451600952,1.0280594421518003
60,"03월",동대문구,0.028103918602773073,0.05751261538083575,1.0460190899313253
61,"03월",동작구,0.022138867212655282,0.06602279385056804,1.0274931219092258
62,"03월",마포구,0.029282900892130318,0.06471535977092646,1.0354975038013747
63,"03월",서대문구,0.03380061042250779,0.06013448918761177,1.032191466287801
64,"03월",서초구,0.024418838490005517,0.06733577887029425,1.0340500056011857
65,"03월",성동구,0.025220375191232682,0.06010729188005611,1.0325546244437465
66,"03월",성북구,0.0187127303289164,0.051814302055071655,1.0350309847876835
67,"03월",송파구,0.02636376466108017,0.057614359423475404,1.0353369050962982
68,"03월",양천구,0.027149172443031916,0.05313105761014188,1.0338378202983771
69,"03월",영등포구,0.024893323277118188,0.05404779835555873,1.0438091392829285
70,"03월",용산구,0.022487959535924817,0.05939067988658759,1.0313317235540733
71,"03월",은평구,0.027405742529069455,0.059192696342940436,1.043359001111031
72,"03월",종로구,0.02915786756823151,0.04991119229192942,1.0348263240406685
73,"03월",중구,0.022582452237398108,0.062435924558772095,1.0335348515344691
74,"03월",중랑구,0.030562151291524592,0.06241465215017166,1.0372480858387363
75,"04월",강남구,0.030405202081537724,0.06780103677844217,1.028525963087164
76,"04월",강동구,0.025067613780064505,0.054994730513641475,1.0109537970493583
77,"04월",강북구,0.024882354538891063,0.05154130094707067,1.0311183950155658
78,"04월",강서구,0.02489044251196801,0.05642224655183888,1.0361689378604308
79,"04월",관악구,0.02487837501445648,0.06091638210095437,1.0287435402918217
80,"04월",광진구,0.025520710654819714,0.0548690294113569,1.0286313418144324
81,"04월",구로구,0.0260703120383247,0.06663516976947095,1.037762355416263
82,"04월",금천구,0.021837813410424418,0.05769199641734513,1.040744191983049
83,"04월",노원구,0.02892621136280701,0.05999924142181973,1.0228712953431651
84,"04월",도봉구,0.027189603598711937,0.07399955089003239,1.0241631087002685
85,"04월",동대문구,0.028596422335300256,0.05619532977371068,1.043428915127082
86,"04월",동작구,0.02198789482812644,0.06519399769848175,1.0239314937542832
87,"04월",마포구,0.0278677090395595,0.06437952410281625,1.0326487565210107
88,"04월",서대문구,0.03216827616087785,0.05959427174183124,1.0296957348047961
89,"04월",서초구,0.02518738675811604,0.06662105277154728,1.0303221629368151
90,"04월",성동구,0.025131501232257113,0.059651992303658787,1.02932086922706
91,"04월",성북구,0.01865606682912357,0.05411443064768847,1.0309947061940146
92,"04월",송파구,0.026122692659024695,0.058434043829075785,1.0317620919123052
93,"04월",양천구,0.02679150158303156,0.054093411060896573,1.0309647359141263
94,"04월",영등포구,0.02696580605326856,0.0542605625967742,1.040452661781007
95,"04월",용산구,0.02229112873805519,0.05994948321127674,1.0284660705567281
96,"04월",은평구,0.026597149130156886,0.05777498119933535,1.0404699182208343
97,"04월",종로구,0.028612188281913493,0.04991552709589654,1.0311793226978718
98,"04월",중구,0.023512197492272215,0.06295934795088526,1.0317995680639123
99,"04월",중랑구,0.03217336451973756,0.06278422710017321,1.0327554977206408
100,"05월",강남구,0.031028689797150892,0.06741481404110967,1.0270338293120884
101,"05월",강동구,0.025141398939279924,0.05490858503522262,1.01371317702683
102,"05월",강북구,0.024051920422554995,0.05158032962224166,1.0293608216427241
103,"05월",강서구,0.024623668511787735,0.05853557200482625,1.033940536469358
104,"05월",관악구,0.024757358124373373,0.06169370005040288,1.02599507439516
105,"05월",광진구,0.024824340740778713,0.053505803333278694,1.0258534718237862
106,"05월",구로구,0.025966472031223216,0.06704368175905763,1.0348671787720196
107,"05월",금천구,0.02195744463514729,0.059365297699488416,1.037809535898799
108,"05월",노원구,0.028702257969916812,0.06118742679090146,1.0212980424195235
109,"05월",도봉구,0.028507128608259585,0.0746629095757703,1.0216963655906628
110,"05월",동대문구,0.029532869595335683,0.05567254332479789,1.0419011094295239
111,"05월",동작구,0.022141672615456954,0.06520080003778607,1.021307358545142
112,"05월",마포구,0.027778769624995488,0.06311895109965775,1.03035098833019
113,"05월",서대문구,0.031605945726531755,0.05965956299612414,1.0277370842281792
114,"05월",서초구,0.02526578486051888,0.0660055430628922,1.0274413371187103
115,"05월",성동구,0.02514656154453932,0.05978847740925456,1.0273151162441772
116,"05월",성북구,0.018842880156214024,0.05563093335460661,1.0282216988819728
117,"05월",송파구,0.02666579300507409,0.05843858027150248,1.029492877484118
118,"05월",양천구,0.026807990628533798,0.05525891570003287,1.0288436986257294
119,"05월",영등포구,0.025392832280383134,0.056840218358274894,1.0382431368645757
120,"05월",용산구,0.022462405926757797,0.060647441975731825,1.0275618397765651
