"gu_code","자치구","2201_ed","2201_rp","2201_fd","2202_ed","2202_rp","2202_fd","2203_ed","2203_rp","2203_fd","2204_ed","2204_rp","2204_fd","2205_ed","2205_rp","2205_fd","2206_ed","2206_rp","2206_fd","2207_ed","2207_rp","2207_fd","2208_ed","2208_rp","2208_fd","2209_ed","2209_rp","2209_fd","2210_ed","2210_rp","2210_fd","2211_ed","2211_rp","2211_fd","2212_ed","2212_rp","2212_fd","2301_ed","2301_rp","2301_fd","2302_ed","2302_rp","2302_fd","2303_ed","2303_rp","2303_fd","2304_ed","2304_rp","2304_fd","2305_ed","2305_rp","2305_fd","2306_ed","2306_rp","2306_fd","2307_ed","2307_rp","2307_fd","2308_ed","2308_rp","2308_fd","2309_ed","2309_rp","2309_fd","2310_ed","2310_rp","2310_fd","2311_ed","2311_rp","2311_fd","2312_ed","2312_rp","2312_fd","2401_ed","2401_rp","2401_fd","2402_ed","2402_rp","2402_fd","2403_ed","2403_rp","2403_fd","2404_ed","2404_rp","2404_fd","2405_ed","2405_rp","2405_fd","2406_ed","2406_rp","2406_fd","2407_ed","2407_rp","2407_fd","2408_ed","2408_rp","2408_fd","2409_ed","2409_rp","2409_fd","2410_ed","2410_rp","2410_fd","2411_ed","2411_rp","2411_fd","2412_ed","2412_rp","2412_fd"
"11350",노원구,2038,,18,2223,,10,2866,381,14,2340,419,22,2291,403,14,2136,424,12,2525,485,13,2734,564,12,2524,450,15,2297,403,13,2213,374,10,2478,413,16,2298,397,21,2021,372,20,2358,429,16,2437,386,11,2652,444,24,2450,390,12,2642,504,18,2592,476,22,2498,393,11,2232,419,10,2241,348,11,2444,435,22,2326,406,14,1977,349,13,2191,344,14,2157,431,17,2340,382,11,2365,465,20,2431,465,16,2669,413,13,2203,455,13,2246,344,13,1984,343,11,2134,317,17
"11380",은평구,2026,,20,2092,,14,2878,464,10,2163,445,18,2103,548,18,2118,579,16,2387,655,20,2615,472,19,2283,458,16,2279,361,20,2243,438,19,2459,469,27,2345,398,25,1863,403,22,2204,393,25,2295,394,10,2411,370,21,2262,432,24,2373,408,27,2397,431,11,2264,422,19,2234,497,22,2067,432,17,2392,496,25,2103,400,17,1801,390,11,2009,505,21,2042,448,17,2068,374,14,2112,441,15,2204,473,15,2420,450,20,1953,425,14,1967,353,15,1885,415,14,1964,456,18
"11410",서대문구,1516,,23,1466,,12,2030,404,24,1654,355,26,1639,358,24,1428,339,15,1713,421,16,1775,326,14,1618,340,19,1609,275,16,1519,278,13,1722,374,21,1488,292,17,1325,287,24,1514,294,18,1624,387,21,1781,281,18,1629,291,12,1672,286,11,1753,331,13,1644,307,22,1531,281,18,1567,254,16,1686,341,19,1491,255,14,1309,274,13,1394,306,21,1425,315,20,1613,360,21,1614,308,14,1630,342,13,1670,290,9,1345,267,8,1414,321,16,1396,324,16,1399,266,13
"11440",마포구,1907,,22,1923,,27,2452,552,23,2233,496,23,2280,630,20,2069,557,19,2564,814,26,2680,786,20,2490,771,19,2320,548,18,2234,589,15,2313,569,18,2227,549,25,2005,570,20,2258,755,21,2460,717,26,2641,708,30,2429,688,25,2622,724,14,2633,626,16,2423,632,16,2325,588,21,2051,580,33,2410,591,24,2042,549,27,1844,534,29,1936,659,34,2063,586,24,2200,646,22,2274,774,31,2346,765,28,2566,785,33,2228,714,30,2013,570,16,1965,570,26,2073,618,31
"11470",양천구,1626,,7,1862,,20,2370,386,7,1876,298,11,1798,388,17,1685,485,7,1984,491,9,2101,480,20,1830,338,10,1718,277,14,1760,321,16,1891,412,21,1752,388,15,1580,316,16,1594,357,17,1708,309,13,1868,330,17,1778,315,14,1904,339,8,2067,362,14,1836,356,12,1717,316,9,1600,257,11,1766,355,16,1719,347,12,1468,222,7,1524,299,16,1563,335,18,1624,303,16,1724,374,20,1893,447,22,1977,384,14,1582,372,12,1501,252,9,1408,293,14,1710,326,16
"11500",강서구,2547,,15,2680,,19,3520,543,19,2820,647,22,2767,668,20,2693,795,18,3134,891,18,3277,747,17,2825,635,20,2906,586,17,2884,572,13,2960,697,25,2799,732,39,2219,490,21,2747,650,36,2882,567,24,3053,596,25,2811,595,16,3145,761,23,3045,655,19,2795,642,15,2767,532,18,2545,514,25,2798,552,13,2478,637,34,2204,492,22,2404,582,21,2419,546,24,2687,603,28,2629,587,28,2857,731,23,2874,664,24,2405,659,24,2430,524,24,2365,494,30,2416,590,32
"11530",구로구,1919,,17,1961,,10,2581,391,12,2140,368,22,2085,412,20,1992,527,22,2270,541,29,2402,433,21,2161,396,23,2124,312,14,2107,371,14,2224,381,18,2053,381,22,1846,388,20,2034,420,22,2056,414,14,2228,435,15,2118,404,16,2491,487,18,2404,414,18,2242,415,12,2161,318,13,1992,341,15,2188,392,15,1880,401,21,1736,331,10,1722,310,12,1962,405,25,1921,422,17,1997,376,11,2196,439,15,2316,444,16,1892,399,21,1796,401,12,1806,395,18,2007,474,26
"11545",금천구,1195,,12,1317,,19,1682,397,19,1415,255,13,1412,486,26,1411,412,27,1531,370,15,1618,286,13,1475,284,18,1302,249,17,1440,276,14,1532,390,21,1297,284,14,1194,259,13,1335,275,22,1449,274,17,1591,321,16,1383,311,15,1506,351,16,1563,290,18,1404,320,16,1347,278,14,1325,262,16,1404,302,15,1292,226,16,1175,322,24,1202,291,15,1264,283,23,1260,271,19,1301,269,19,1407,362,25,1575,344,20,1229,290,12,1202,279,19,1212,301,18,1307,306,18
"11560",영등포구,2205,,18,2229,,19,2928,834,20,2609,785,21,2613,885,20,2438,798,18,2638,825,21,2781,817,25,2618,668,33,2338,547,20,2333,567,17,2659,659,17,2290,581,38,2154,549,31,2324,505,23,2473,658,31,2595,643,35,2414,591,23,2700,737,21,2794,676,30,2546,577,18,2440,522,27,2327,533,39,2519,589,32,2172,525,33,1942,468,20,2125,558,26,2166,538,25,2258,551,34,2406,599,31,2653,594,22,2638,566,32,2121,631,32,2154,538,26,1949,501,24,2441,530,31
"11590",동작구,1574,,11,1603,,17,2045,391,15,1827,308,12,1780,435,21,1747,388,16,1936,463,12,2258,611,17,1996,462,16,1824,367,14,1789,390,17,1928,359,19,1702,274,13,1522,261,15,1678,268,9,1797,295,11,1918,305,13,1821,334,19,1945,417,20,1907,341,18,1897,334,14,1780,304,12,1592,243,8,1798,312,15,1635,289,16,1455,243,9,1546,275,19,1618,391,20,1675,282,17,1677,299,13,1825,420,20,1983,353,18,1592,323,14,1569,281,11,1458,309,16,1652,275,15
"11620",관악구,2360,,20,2334,,21,3016,573,16,2550,563,26,2497,585,26,2388,679,17,2743,689,30,3132,882,25,2604,592,17,2576,511,31,2476,475,30,2776,563,46,2510,518,27,2267,504,30,2435,543,28,2533,515,20,2754,572,18,2632,519,29,2647,645,23,2838,622,20,2597,561,18,2557,488,22,2224,401,14,2409,558,32,2245,507,23,2072,498,17,2169,527,22,2083,505,8,2346,600,25,2373,568,23,2564,611,24,2647,621,19,2145,585,15,2190,532,19,2177,535,25,2238,552,20
"11650",서초구,1829,,28,1730,,23,2289,535,15,2071,587,22,2137,631,19,2047,702,16,2520,883,15,2535,944,11,2041,567,12,2105,522,16,2084,532,17,2318,604,22,1961,534,21,1737,506,23,2120,706,21,2080,630,24,2311,544,15,2295,581,16,2445,643,11,2341,660,21,2297,621,18,2061,537,23,1954,598,26,2252,591,20,1949,532,29,1714,557,21,1750,471,18,1833,552,24,1974,550,14,2027,557,24,2232,639,23,2296,822,30,1667,511,14,1832,602,19,1829,512,15,2003,571,22
"11680",강남구,2601,,32,2667,,40,3465,1162,26,3048,1034,37,3226,1101,43,3163,1089,33,3614,1162,38,3781,1269,37,3232,944,42,3093,818,34,3139,760,22,3572,1074,53,3012,841,34,2691,894,31,3081,925,40,3259,1008,37,3549,993,36,3465,888,43,3688,1085,33,3569,959,32,3283,833,37,3187,855,25,2892,841,37,3274,949,37,2882,767,31,2621,697,20,2799,836,36,2980,875,34,3131,848,34,3167,945,44,3471,976,25,3560,1131,39,2774,856,27,2670,821,21,2868,933,36,2890,881,40
"11710",송파구,2439,,22,2671,,28,3554,777,28,2958,859,44,2840,767,39,2790,842,29,3331,1021,31,3256,822,24,3107,799,21,2743,588,28,2877,682,19,3215,848,37,2703,675,26,2423,707,37,2725,848,45,2921,775,35,3310,825,37,3007,706,30,3237,920,27,3242,789,32,2930,803,21,2835,737,33,2577,626,26,3025,797,33,2675,672,31,2246,478,22,2548,748,48,2576,611,31,2515,673,33,2778,726,35,2862,760,28,3064,786,29,2595,739,34,2427,657,28,2452,717,32,2643,632,38
"11740",강동구,1844,,18,2074,,16,2519,503,14,2037,462,22,1960,451,19,2004,556,16,2258,574,18,2348,537,16,2029,403,12,2084,333,11,2075,347,12,2159,432,20,2035,380,15,1850,379,19,2014,397,12,2097,393,12,2247,372,14,2032,371,9,2283,482,20,2261,439,17,2215,435,12,2006,385,9,1924,329,12,2136,443,20,1876,358,18,1667,257,11,1885,331,13,1971,418,14,2051,376,12,1986,480,16,2032,471,15,2239,490,18,1910,488,21,1801,367,15,1776,355,13,1904,348,19
