"구별","3월","4월","5월","6월","7월","8월","9월","10월","11월","12월"
"",69,43,42,89,87,58,59,53,63,76
"",75,66,62,53,89,115,75,60,67,119
"",46,26,27,22,71,31,53,24,15,57
"",38,42,57,28,33,23,47,32,49,38
"",51,59,57,42,38,48,39,45,38,29
"",46,123,115,89,105,62,136,77,82,123
"",24,33,27,59,49,34,27,16,26,27
"",112,183,140,147,180,164,122,88,94,129
"",37,51,32,11,32,25,34,10,42,54
"",46,50,39,38,49,71,56,38,44,65
양천구,118,134,151,179,174,162,98,114,105,129
"",120,68,135,167,149,148,96,94,108,127
"",148,96,102,139,168,170,144,69,108,156
영등포구,29,39,33,67,64,107,61,61,85,73
"",5,16,10,12,10,5,8,7,4,3
"",12,8,7,5,0,11,2,2,8,4
"",15,17,27,23,18,11,9,15,2,7
"",1,1,11,8,18,13,15,3,2,9
"",6,13,5,2,5,16,15,2,22,10
"",22,8,19,14,12,6,7,20,18,14
"",88,37,91,86,44,92,73,50,46,72
"",16,12,8,23,9,19,16,25,7,25
"",9,3,4,2,3,2,6,6,2,7
"",3,4,4,0,11,5,3,6,0,6
"",16,15,4,14,16,11,9,11,9,20
"",8,7,6,10,1,3,6,5,0,6
"",9,5,4,3,6,1,8,1,9,11
"",3,7,15,18,9,9,2,2,0,10
"",66,99,121,77,83,88,92,71,77,85
"",2,8,8,5,4,5,3,6,5,14
"",5,8,8,5,11,8,4,1,5,4
"",6,4,2,8,10,5,14,2,6,5
"",15,17,20,18,3,10,8,11,12,17
"",28,6,24,37,24,14,20,8,5,24
"",13,8,12,13,19,17,16,7,7,8
"",10,4,10,4,12,14,20,8,8,7
"",11,11,18,21,39,17,8,24,22,30
"",299,295,335,237,290,237,170,131,131,96
"",12,11,35,7,14,16,13,13,19,28
"",16,5,12,2,16,10,5,1,1,9
"",20,22,13,26,7,14,9,0,14,7
"",34,38,3,14,25,10,18,19,13,18
"",16,12,7,7,9,12,2,5,2,8
"",10,6,2,16,2,6,8,5,1,9
"",7,6,1,9,2,10,3,3,8,2
"",17,29,3,0,22,8,5,16,13,6
"",5,4,3,5,7,5,10,0,4,5
용산구,12,12,7,5,14,11,2,6,11,17
"",0,4,0,1,3,5,2,0,2,5
"",3,6,4,1,3,0,2,1,4,1
"",9,5,8,9,0,6,9,3,8,3
"",9,2,38,20,5,35,11,15,9,20
"",0,2,3,4,7,9,2,2,2,7
"",25,12,20,22,32,17,8,10,27,36
"",0,0,0,0,0,4,0,1,6,5
"",5,3,11,18,15,10,7,5,5,12
"",26,35,34,25,7,10,4,5,17,7
"",1,2,1,6,5,1,0,0,1,9
"",0,3,0,1,6,0,0,5,0,2
"",4,16,0,3,7,11,1,5,7,6
"",0,0,0,0,2,0,0,2,0,3
"",17,11,20,10,23,31,7,0,26,15
"",2,1,1,2,1,1,3,1,1,2
"",2,0,0,0,3,2,1,0,3,0
"",1,0,2,4,2,9,1,0,2,8
"",5,2,8,3,3,7,0,3,0,0
"",15,13,8,16,10,6,1,8,5,6
"",3,6,1,6,2,3,4,2,0,9
"",5,7,1,1,2,1,0,0,5,0
"",1,1,10,2,6,8,5,2,6,8
"",95,122,107,104,96,110,105,111,79,37
"",45,28,40,53,44,37,23,63,31,49
"",1,0,0,0,5,3,5,0,0,3
"",0,0,0,0,0,2,2,1,0,2
"",6,5,8,10,5,4,10,3,5,7
"",1,5,0,10,2,6,1,3,9,4
"",8,3,5,10,7,1,14,4,5,8
"",6,13,28,5,10,1,6,11,9,6
"",12,14,41,18,16,30,10,21,15,20
"",23,43,36,21,37,69,14,26,21,24
"",81,68,70,60,117,121,119,80,64,91
"",3,9,2,13,20,4,22,4,3,9
"",20,19,29,17,24,17,8,13,20,21
은평구,44,49,63,58,51,36,37,41,38,61
"",14,31,29,25,40,27,31,16,24,18
"",31,41,40,56,51,21,36,27,34,21
"",34,43,45,32,30,24,30,26,38,38
"",62,57,81,90,78,76,55,49,72,64
"",31,21,21,24,26,22,16,18,17,17
"",32,31,43,46,70,41,36,20,44,61
"",45,23,35,41,44,38,63,32,28,33
"",89,82,102,118,72,88,87,50,79,76
"",15,7,5,9,33,19,22,28,21,31
"",67,60,84,80,160,80,45,54,43,49
종로구,2,1,1,0,4,1,1,1,0,1
"",1,0,0,0,3,0,7,2,11,0
"",1,3,0,1,8,0,1,2,6,1
"",2,0,4,1,3,1,8,1,0,0
"",0,0,1,0,0,0,0,0,0,0
"",12,1,4,1,1,6,2,2,1,0
"",12,3,2,10,7,4,14,10,15,6
"",3,5,3,3,3,2,1,0,1,2
"",0,0,2,0,0,0,0,0,0,0
"",2,0,0,3,0,0,0,7,0,0
"",27,9,30,28,31,26,14,25,6,7
"",0,0,2,0,0,1,0,0,0,1
"",2,0,0,0,0,0,0,0,0,0
"",10,3,12,7,10,11,5,8,3,6
"",8,4,1,3,3,1,2,3,1,0
"",0,7,0,4,1,8,0,2,0,5
"",4,9,2,3,3,2,1,1,1,1
"",3,1,2,2,1,1,0,0,0,1
"",0,0,3,1,2,2,14,8,0,0
"",0,0,0,0,2,0,0,0,0,1
"",3,2,0,3,4,7,0,2,1,4
"",12,2,10,11,6,1,4,3,7,5
"",5,1,11,9,8,9,0,3,1,5
"",3,1,7,5,3,4,13,4,0,7
"",24,4,6,6,8,3,1,5,6,1
"",3,5,12,3,0,9,2,0,8,1
"",3,3,0,5,6,4,0,2,2,0
"",7,8,3,10,17,6,11,14,2,13
"",6,0,4,13,1,1,0,0,0,0
"",10,8,15,24,20,3,4,8,17,14
"",0,0,0,3,4,4,0,0,0,0
"",7,6,10,7,5,10,1,11,3,2
"",2,6,17,3,6,4,11,1,2,2
"",0,0,2,0,0,0,2,1,1,0
"",1,11,6,2,7,7,7,9,9,6
"",0,0,0,2,1,0,1,0,0,0
"",0,2,0,0,0,0,0,0,1,0
"",0,3,6,1,9,1,4,2,4,1
"",13,16,23,17,43,23,10,11,28,34
"",2,0,1,1,2,1,4,0,1,1
"",10,4,0,1,0,0,2,2,4,1
"",0,1,4,0,3,6,1,3,1,11
"",9,6,6,3,11,6,1,6,10,4
"",1,1,12,1,0,0,1,0,0,3
"",3,4,20,5,1,7,10,6,0,9
"",0,3,4,8,1,3,1,1,1,3
"",1,3,8,0,2,0,0,0,5,0
"",4,3,14,2,11,1,3,0,7,10
"",6,1,1,4,0,2,2,6,2,0
"",3,0,2,5,0,2,2,0,2,0
"",3,2,0,2,6,5,0,0,3,5
"",5,6,1,0,0,4,6,3,0,1
"",1,0,0,6,1,12,0,2,1,2
"",0,1,3,6,6,0,7,1,5,0
"",2,0,6,0,0,0,7,0,0,0
"",1,0,3,0,4,1,0,1,0,6
"",2,0,6,3,2,5,1,0,1,1
"",1,0,2,1,3,6,0,0,1,0
"",0,1,4,1,1,0,1,2,0,1
"",0,1,1,0,9,0,1,0,1,1
"",0,3,2,1,0,1,2,0,1,1
"",19,1,4,7,3,10,7,3,9,7
"",0,0,2,5,0,0,0,2,1,0
"",3,7,2,5,9,5,4,9,3,16
"",11,4,5,5,9,9,6,0,3,6
