gu,year,month,monthly_rain_mm
마포구,2023,10,44.0
마포구,2023,11,72.5
마포구,2023,12,77.5
마포구,2024,1,15.0
마포구,2024,2,62.0
마포구,2024,3,7.0
마포구,2024,4,31.5
마포구,2024,5,116.5
마포구,2024,6,84.0
마포구,2024,7,548.5
마포구,2024,8,100.5
마포구,2024,9,210.0
마포구,2024,10,55.5
마포구,2024,11,26.5
마포구,2024,12,5.0
서대문구,2022,1,1.5
서대문구,2022,2,6.0
서대문구,2022,3,280.5
서대문구,2022,4,49.5
서대문구,2022,5,13.5
서대문구,2022,6,1075.5
서대문구,2022,7,607.5
서대문구,2022,8,1498.5
서대문구,2022,9,564.0
서대문구,2022,10,394.5
서대문구,2022,11,249.0
서대문구,2022,12,33.0
서대문구,2023,1,46.5
서대문구,2023,2,1.5
서대문구,2023,3,11.5
서대문구,2023,4,86.0
서대문구,2023,5,114.5
서대문구,2023,6,110.5
서대문구,2023,7,441.5
서대문구,2023,8,237.5
서대문구,2023,9,115.0
서대문구,2023,10,32.5
서대문구,2023,11,82.0
서대문구,2023,12,79.0
서대문구,2024,1,14.0
서대문구,2024,2,59.5
서대문구,2024,3,10.0
서대문구,2024,4,31.5
서대문구,2024,5,130.5
서대문구,2024,6,93.0
서대문구,2024,7,596.0
서대문구,2024,8,128.0
서대문구,2024,9,184.5
서대문구,2024,10,58.5
서대문구,2024,11,27.5
서대문구,2024,12,4.5
서초구,2022,1,1.5
서초구,2022,2,16.5
서초구,2022,3,219.0
서초구,2022,4,90.0
서초구,2022,5,27.0
서초구,2022,6,1264.5
서초구,2022,7,915.0
서초구,2022,8,2269.5
서초구,2022,9,753.0
서초구,2022,10,330.0
서초구,2022,11,180.0
서초구,2022,12,24.0
서초구,2023,1,51.5
서초구,2023,2,1.0
서초구,2023,3,9.0
서초구,2023,4,73.5
서초구,2023,5,160.0
서초구,2023,6,155.5
서초구,2023,7,437.5
서초구,2023,8,284.5
서초구,2023,9,146.0
서초구,2023,10,42.5
서초구,2023,11,100.5
서초구,2023,12,99.0
서초구,2024,1,19.5
서초구,2024,2,76.0
서초구,2024,3,12.0
서초구,2024,4,36.5
서초구,2024,5,110.5
서초구,2024,6,114.5
서초구,2024,7,400.5
서초구,2024,8,158.5
서초구,2024,9,199.0
서초구,2024,10,54.0
서초구,2024,11,30.5
서초구,2024,12,3.5
성동구,2022,1,0.0
성동구,2022,2,7.5
성동구,2022,3,271.5
성동구,2022,4,49.5
성동구,2022,5,18.0
성동구,2022,6,1317.0
성동구,2022,7,793.5
성동구,2022,8,1749.0
성동구,2022,9,534.0
성동구,2022,10,352.5
성동구,2022,11,192.0
성동구,2022,12,22.5
성동구,2023,1,34.5
성동구,2023,2,0.5
성동구,2023,3,8.5
성동구,2023,4,97.0
성동구,2023,5,133.0
성동구,2023,6,147.0
성동구,2023,7,524.5
성동구,2023,8,298.5
성동구,2023,9,120.5
성동구,2023,10,23.0
성동구,2023,11,81.0
성동구,2023,12,59.5
성동구,2024,1,13.5
성동구,2024,2,46.0
성동구,2024,3,1.5
성동구,2024,4,9.5
성동구,2024,5,107.0
성동구,2024,6,114.0
성동구,2024,7,520.0
성동구,2024,8,93.0
성동구,2024,9,124.5
성동구,2024,10,48.0
성동구,2024,11,29.0
성동구,2024,12,4.5
성북구,2022,1,4.5
성북구,2022,2,6.0
성북구,2022,3,285.0
성북구,2022,4,60.0
성북구,2022,5,18.0
성북구,2022,6,1165.5
성북구,2022,7,729.0
성북구,2022,8,1650.0
성북구,2022,9,619.5
성북구,2022,10,423.0
성북구,2022,11,226.5
성북구,2022,12,21.0
성북구,2023,1,43.5
성북구,2023,2,0.5
성북구,2023,3,8.5
성북구,2023,4,96.5
성북구,2023,5,161.0
성북구,2023,6,171.0
성북구,2023,7,394.5
성북구,2023,8,291.0
성북구,2023,9,120.5
성북구,2023,10,22.0
성북구,2023,11,74.0
성북구,2023,12,78.5
성북구,2024,1,14.5
성북구,2024,2,60.0
성북구,2024,3,10.5
성북구,2024,4,32.5
성북구,2024,5,122.5
성북구,2024,6,111.0
성북구,2024,7,589.5
성북구,2024,8,83.0
성북구,2024,9,140.5
성북구,2024,10,57.0
성북구,2024,11,19.5
성북구,2024,12,2.5
송파구,2022,1,4.5
송파구,2022,2,16.5
송파구,2022,3,255.0
송파구,2022,4,97.5
송파구,2022,5,27.0
송파구,2022,6,1438.5
송파구,2022,7,933.0
송파구,2022,8,2308.5
송파구,2022,9,925.5
송파구,2022,10,337.5
송파구,2022,11,223.5
송파구,2022,12,9.0
송파구,2023,1,55.5
송파구,2023,2,1.0
송파구,2023,3,8.5
송파구,2023,4,96.0
송파구,2023,5,188.0
송파구,2023,6,190.0
송파구,2023,7,480.5
송파구,2023,8,223.0
송파구,2023,9,138.0
송파구,2023,10,31.0
송파구,2023,11,98.5
송파구,2023,12,85.0
송파구,2024,1,2.5
송파구,2024,2,84.5
송파구,2024,3,13.5
송파구,2024,4,32.0
송파구,2024,5,93.0
송파구,2024,6,139.0
송파구,2024,7,419.5
송파구,2024,8,150.0
송파구,2024,9,228.5
송파구,2024,10,46.5
송파구,2024,11,26.5
송파구,2024,12,4.0
양천구,2022,1,0.0
양천구,2022,2,6.0
양천구,2022,3,232.5
양천구,2022,4,49.5
양천구,2022,5,15.0
양천구,2022,6,909.0
양천구,2022,7,607.5
양천구,2022,8,1701.0
양천구,2022,9,555.0
양천구,2022,10,342.0
양천구,2022,11,154.5
양천구,2022,12,21.0
양천구,2023,1,40.5
양천구,2023,2,1.0
양천구,2023,3,11.0
양천구,2023,4,77.5
양천구,2023,5,174.5
양천구,2023,6,195.0
양천구,2023,7,466.0
양천구,2023,8,297.0
양천구,2023,9,96.0
양천구,2023,10,25.5
양천구,2023,11,71.5
양천구,2023,12,80.0
양천구,2024,1,14.5
양천구,2024,2,62.0
양천구,2024,3,4.0
양천구,2024,4,30.0
양천구,2024,5,112.5
양천구,2024,6,103.0
양천구,2024,7,448.5
양천구,2024,8,131.0
양천구,2024,9,152.0
양천구,2024,10,49.0
양천구,2024,11,28.5
양천구,2024,12,4.0
영등포구,2022,2,3.0
영등포구,2022,3,262.5
영등포구,2022,4,49.5
영등포구,2022,5,15.0
영등포구,2022,6,1005.0
영등포구,2022,7,640.5
영등포구,2022,8,1773.0
영등포구,2022,9,565.5
영등포구,2022,10,328.5
영등포구,2022,11,225.0
영등포구,2022,12,27.0
영등포구,2023,1,41.5
영등포구,2023,2,1.5
영등포구,2023,3,11.5
영등포구,2023,4,71.0
영등포구,2023,5,140.0
영등포구,2023,6,146.5
영등포구,2023,7,495.5
영등포구,2023,8,255.5
영등포구,2023,9,100.0
영등포구,2023,10,37.5
영등포구,2023,11,69.5
영등포구,2023,12,72.5
영등포구,2024,1,13.5
영등포구,2024,2,54.5
영등포구,2024,3,5.0
영등포구,2024,4,12.0
영등포구,2024,5,106.5
영등포구,2024,6,108.0
영등포구,2024,7,498.5
영등포구,2024,8,81.5
영등포구,2024,9,171.0
영등포구,2024,10,52.0
영등포구,2024,11,26.0
영등포구,2024,12,4.5
용산구,2022,1,3.0
용산구,2022,2,6.0
용산구,2022,3,229.5
용산구,2022,4,54.0
용산구,2022,5,21.0
용산구,2022,6,1042.5
용산구,2022,7,669.0
용산구,2022,8,1798.5
용산구,2022,9,606.0
용산구,2022,10,351.0
용산구,2022,11,178.5
용산구,2022,12,18.0
용산구,2023,1,33.0
용산구,2023,2,1.5
용산구,2023,3,9.0
용산구,2023,4,81.5
용산구,2023,5,136.0
용산구,2023,6,126.5
용산구,2023,7,376.0
용산구,2023,8,274.5
용산구,2023,9,114.0
용산구,2023,10,35.0
용산구,2023,11,81.0
용산구,2023,12,73.0
용산구,2024,1,16.0
용산구,2024,2,54.5
용산구,2024,3,9.5
용산구,2024,4,14.0
용산구,2024,5,106.0
용산구,2024,6,127.0
용산구,2024,7,502.0
용산구,2024,8,76.0
용산구,2024,9,144.5
용산구,2024,10,55.5
용산구,2024,11,28.5
용산구,2024,12,4.5
은평구,2022,1,0.0
은평구,2022,2,4.5
은평구,2022,3,324.0
은평구,2022,4,55.5
은평구,2022,5,13.5
은평구,2022,6,1282.5
은평구,2022,7,628.5
은평구,2022,8,1542.0
은평구,2022,9,531.0
은평구,2022,10,505.5
은평구,2022,11,273.0
은평구,2022,12,19.5
은평구,2023,1,39.5
은평구,2023,2,0.5
