gu,date,daily_rain_mm,year,month
강남구,2022-10-12,0.0,2022,10
강남구,2022-10-13,0.0,2022,10
강남구,2022-10-14,0.0,2022,10
강남구,2022-10-15,0.0,2022,10
강남구,2022-10-16,0.0,2022,10
강남구,2022-10-17,0.0,2022,10
강남구,2022-10-18,0.0,2022,10
강남구,2022-10-19,0.0,2022,10
강남구,2022-10-20,0.0,2022,10
강남구,2022-10-21,0.0,2022,10
강남구,2022-10-22,0.0,2022,10
강남구,2022-10-23,0.0,2022,10
강남구,2022-10-24,0.0,2022,10
강남구,2022-10-25,0.0,2022,10
강남구,2022-10-26,0.0,2022,10
강남구,2022-10-27,0.0,2022,10
강남구,2022-10-28,0.0,2022,10
강남구,2022-10-29,0.0,2022,10
강남구,2022-10-30,0.0,2022,10
강남구,2022-10-31,0.0,2022,10
강남구,2022-11-01,0.0,2022,11
강남구,2022-11-02,0.0,2022,11
강남구,2022-11-03,0.0,2022,11
강남구,2022-11-04,0.0,2022,11
강남구,2022-11-05,0.0,2022,11
강남구,2022-11-06,0.0,2022,11
강남구,2022-11-07,0.0,2022,11
강남구,2022-11-08,0.0,2022,11
강남구,2022-11-09,0.0,2022,11
강남구,2022-11-10,0.0,2022,11
강남구,2022-11-11,0.0,2022,11
강남구,2022-11-12,109.5,2022,11
강남구,2022-11-13,0.0,2022,11
강남구,2022-11-14,0.0,2022,11
강남구,2022-11-15,10.5,2022,11
강남구,2022-11-16,0.0,2022,11
강남구,2022-11-17,0.0,2022,11
강남구,2022-11-18,0.0,2022,11
강남구,2022-11-19,0.0,2022,11
강남구,2022-11-20,0.0,2022,11
강남구,2022-11-21,0.0,2022,11
강남구,2022-11-22,0.0,2022,11
강남구,2022-11-23,0.0,2022,11
강남구,2022-11-24,0.0,2022,11
강남구,2022-11-25,6.0,2022,11
강남구,2022-11-26,0.0,2022,11
강남구,2022-11-27,0.0,2022,11
강남구,2022-11-28,60.0,2022,11
강남구,2022-11-29,7.5,2022,11
강남구,2022-11-30,0.0,2022,11
강남구,2022-12-01,0.0,2022,12
강남구,2022-12-02,0.0,2022,12
강남구,2022-12-03,1.5,2022,12
강남구,2022-12-04,0.0,2022,12
강남구,2022-12-05,0.0,2022,12
강남구,2022-12-06,0.0,2022,12
강남구,2022-12-07,0.0,2022,12
강남구,2022-12-08,0.0,2022,12
강남구,2022-12-09,0.0,2022,12
강남구,2022-12-10,0.0,2022,12
강남구,2022-12-11,0.0,2022,12
강남구,2022-12-12,10.5,2022,12
강남구,2022-12-13,0.0,2022,12
강남구,2022-12-14,0.0,2022,12
강남구,2022-12-15,0.0,2022,12
강남구,2022-12-16,3.0,2022,12
강남구,2022-12-17,1.5,2022,12
강남구,2022-12-18,0.0,2022,12
강남구,2022-12-19,0.0,2022,12
강남구,2022-12-20,0.0,2022,12
강남구,2022-12-21,9.0,2022,12
강남구,2022-12-22,0.0,2022,12
강남구,2022-12-23,0.0,2022,12
강남구,2022-12-24,0.0,2022,12
