자치구,스트레스분류,해결태그,장소명,카테고리,도로명주소,경도,위도,전화번호,플레이스URL
중랑구,안전,키워드:사람,카인드짐 헬스&amp;PT 망우점,스포츠시설>헬스장,서울특별시 중랑구 용마산로115길 108 이안빌딩 지하1층 카인드짐,127.0940062,37.5979516,,https://pf.kakao.com/_exlCVM
중랑구,안전,키워드:사람,치킨과사람들,"음식점>치킨,닭강정",서울특별시 중랑구 신내역로1길 85 110동 105호,127.107484,37.6165489,,
중랑구,안전,키워드:사람,술과사람,술집>포장마차,서울특별시 중랑구 봉우재로33길 86,127.0898863,37.5955656,,
중랑구,안전,키워드:백화점,종합기독교백화점,"쇼핑,유통>개신교용품",서울특별시 중랑구 망우로 192,127.074107,37.593219,,
중랑구,안전,키워드:복합문화공간,중랑아트센터,"문화,예술>복합문화공간",서울특별시 중랑구 망우로 353 이노시티 C동 B2F 중랑아트센터,127.0912806,37.5985,,https://www.jnfac.or.kr/art/index
중랑구,안전,키워드:복합문화공간,빈스로드 시네마,"문화,예술>복합문화공간",서울특별시 중랑구 봉화산로43길 38,127.0876467,37.6051415,,
중랑구,안전,키워드:복합문화공간,중랑망우공간,"문화,예술>복합문화공간",서울특별시 중랑구 망우로91길 2,127.1145149,37.5986636,,
중랑구,안전,키워드:복합문화공간,사가정 마중 마을활력소,"문화,예술>복합문화공간",서울특별시 중랑구 면목로45길 3-2,127.0882307,37.5816424,,https://blog.naver.com/jnmaeul46382
중랑구,안전,키워드:복합문화공간,망우마중마을활력소,"문화,예술>복합문화공간",서울특별시 중랑구 용마산로 461,127.0981658,37.5923635,,https://blog.naver.com/jnmaeul46382
중랑구,안전,키워드:느좋,상봉주전,술집>요리주점,서울특별시 중랑구 면목로92길 28 리더스 101호,127.0874172,37.5953019,,https://www.instagram.com/sangbongjujeon?igsh=MWdmMjZmdnI3cGN4bw==
중랑구,안전,키워드:쉼터,용마쉼터,"한식>백숙,삼계탕",서울특별시 중랑구 용마산로112나길 69,127.1024728,37.595888,,https://www.instagram.com/yong_ma118
중랑구,안전,키워드:쉼터,쉼터생고기집,"한식>육류,고기요리",서울특별시 중랑구 중랑천로20길 9,127.0725363,37.5963803,,
중랑구,안전,키워드:쉼터,용마폭포공원반려가족쉼터,"도시,테마공원>부속시설",,127.0904443,37.5725393,,
중랑구,안전,키워드:쉼터,쉼터옛날칼국수,한식>국수,서울특별시 중랑구 동일로92길 35 A동 101-2호,127.0818218,37.5835056,,
중랑구,안전,키워드:쉼터,망우리공원,"레져,체육시설>공원",,127.1112178,37.6016685,,
중랑구,안전,키워드:야경,용마왕돈까스 본점,음식점>한식,"서울특별시 중랑구 용마산로 248 1층 101,102호 용마왕돈까스",127.0884782,37.5752133,,
