연도,월,자치구코드,총이동인구수,평균이동시간,총이동시간,유입인구_norm,평균이동시간_norm,총이동시간_norm,출퇴근스트레스점수,모형,가중치_유입인구,가중치_평균이동시간,가중치_총이동시간
2022,1,21040,54.03,204.46153846153845,11047.056923076923,8.99292609724436e-05,0.5212078086365847,0.0004002272990612,14.632663873851625,PCA기반,0.3584613236941443,0.2804061356209105,0.3611325406849452
2022,1,35310,182.3,202.69767441860463,36951.78604651163,0.000317583223967,0.5156163564873694,0.0014223665127459,14.520949412093644,PCA기반,0.3584613236941443,0.2804061356209105,0.3611325406849452
2022,1,34030,202.27,202.17543859649123,40894.02596491228,0.0003530260371033,0.5139608680036332,0.0015779179563124,14.481416455838175,PCA기반,0.3584613236941443,0.2804061356209105,0.3611325406849452
2022,1,34380,138.45,202.26829268292684,28004.045121951214,0.0002397581185073,0.5142552156225688,0.0010693098631548,14.467242433580976,PCA기반,0.3584613236941443,0.2804061356209105,0.3611325406849452
2022,1,35060,104.12,199.66666666666663,20789.29333333333,0.0001788291362854,0.5060080565298096,0.0007846328574618,14.22352235107992,PCA기반,0.3584613236941443,0.2804061356209105,0.3611325406849452
2022,1,36040,105.54,198.84375,20985.969375,0.0001813493563482,0.5033994092347465,0.0007923932279186,14.150744872731202,PCA기반,0.3584613236941443,0.2804061356209105,0.3611325406849452
2022,1,37400,97.13,196.08,19045.2504,0.0001664232642862,0.4946383168255546,0.0007158170569176,13.901778008712522,PCA기반,0.3584613236941443,0.2804061356209105,0.3611325406849452
2022,1,21120,127.06,193.85,24630.581,0.0002195431139193,0.4875692128644517,0.0009362009644447,13.71341891751551,PCA기반,0.3584613236941443,0.2804061356209105,0.3611325406849452
2022,1,32060,249.48,190.68253968253967,47571.48,0.0004368144801763,0.4775283580318083,0.0018413944661156,13.47234500838223,PCA기반,0.3584613236941443,0.2804061356209105,0.3611325406849452
2022,1,21150,93.25,191.1818181818182,17827.704545454544,0.0001595370291851,0.4791110717613792,0.0006677755832369,13.464402751344275,PCA기반,0.3584613236941443,0.2804061356209105,0.3611325406849452
