month,자치구,지역,소음 평균(dB)
2023.11,Gangbuk-gu,commercial_area,49.593828781654665
2023.12,Gangbuk-gu,commercial_area,49.691732474927186
2023.1,Gangbuk-gu,parks,54.391513513967354
2023.2,Gangbuk-gu,parks,54.920219467177596
2023.3,Gangbuk-gu,parks,54.65451052388553
2023.4,Gangbuk-gu,parks,54.03134699549024
2023.5,Gangbuk-gu,parks,53.82169557499292
2023.6,Gangbuk-gu,parks,54.38258588240976
2023.7,Gangbuk-gu,parks,54.38284678733607
2023.8,Gangbuk-gu,parks,54.920689233371604
2023.9,Gangbuk-gu,parks,53.73025888340133
2023.10,Gangbuk-gu,parks,54.57968186551385
2023.11,Gangbuk-gu,parks,54.25324595926766
2023.12,Gangbuk-gu,parks,52.781043593560355
2023.1,Gangbuk-gu,residential_area,48.03867153198561
2023.2,Gangbuk-gu,residential_area,47.58856318615883
2023.3,Gangbuk-gu,residential_area,47.665865889468705
2023.4,Gangbuk-gu,residential_area,47.09137935756264
2023.5,Gangbuk-gu,residential_area,47.57904691964557
2023.6,Gangbuk-gu,residential_area,47.515951833460996
2023.7,Gangbuk-gu,residential_area,53.00029080333183
2023.8,Gangbuk-gu,residential_area,48.98385863438398
2023.9,Gangbuk-gu,residential_area,47.57500434032008
2023.10,Gangbuk-gu,residential_area,47.05210930653628
2023.11,Gangbuk-gu,residential_area,47.69346089759441
2023.12,Gangbuk-gu,residential_area,47.12009818002594
2023.1,Gangbuk-gu,roads_and_parks,46.0558659880613
2023.2,Gangbuk-gu,roads_and_parks,46.08095223148957
2023.3,Gangbuk-gu,roads_and_parks,50.873839642304944
2023.4,Gangbuk-gu,roads_and_parks,48.74498254400259
2023.5,Gangbuk-gu,roads_and_parks,50.2992036571223
2023.6,Gangbuk-gu,roads_and_parks,50.5593201076863
2023.7,Gangbuk-gu,roads_and_parks,160.56322942666574
2023.8,Gangbuk-gu,roads_and_parks,51.87022517356109
2023.9,Gangbuk-gu,roads_and_parks,50.26673029839093
2023.10,Gangbuk-gu,roads_and_parks,50.282120279296805
2023.11,Gangbuk-gu,roads_and_parks,50.638104379400495
2023.12,Gangbuk-gu,roads_and_parks,50.482952396880926
2023.1,Gangbuk-gu,traditional_markets,49.75433676250966
2023.2,Gangbuk-gu,traditional_markets,49.564587720744456
2023.3,Gangbuk-gu,traditional_markets,49.65841892881902
2023.4,Gangbuk-gu,traditional_markets,49.47530445840021
2023.5,Gangbuk-gu,traditional_markets,49.92321237373254
2023.6,Gangbuk-gu,traditional_markets,50.05653714080116
2023.7,Gangbuk-gu,traditional_markets,50.39323986043757
2023.8,Gangbuk-gu,traditional_markets,49.682480358671086
2023.9,Gangbuk-gu,traditional_markets,48.62855765390587
2023.10,Gangbuk-gu,traditional_markets,48.598513917237895
2023.11,Gangbuk-gu,traditional_markets,49.68576105585682
2023.12,Gangbuk-gu,traditional_markets,49.16653708134704
