자치구,year_month,강수량점수,대기점수,불쾌지수점수,쓰레기점수,이상기온점수,환경점수
강남구,2024-02,14.94217130593476,64.03,77.94,47.52,2.985074626865672,41.48344918656009
강남구,2024-03,6.0088377207068655,60.08,68.32,42.65,17.91044776119403,38.99385709638018
강남구,2024-04,12.539097184700427,54.21,45.75,42.65,19.402985074626866,34.91041645186546
강남구,2024-05,22.35658068245793,70.55,45.06,41.26,26.86567164179105,41.218450464849795
강남구,2024-06,33.014025489210724,64.82,30.55,37.78,37.3134328358209,40.69549166500632
강남구,2024-07,98.38347924325836,79.4,24.03,35.69,43.28358208955223,56.15741226656212
강남구,2024-08,46.86801228741673,72.05,16.34,35.69,85.07462686567165,51.20452783061768
강남구,2024-09,32.31008724368154,84.46,11.5,39.17,40.298507462686565,41.54771894127362
강남구,2024-10,8.842651542917165,80.81,36.28,42.65,11.940298507462686,36.10459001007597
강남구,2024-11,7.142363249590986,72.44,54.21,44.73,13.432835820895525,38.3910398140973
강남구,2024-12,0.2720461269321887,68.36,77.45,47.52,2.985074626865672,39.31742415075958
강동구,2022-01,0.0340057658665235,45.7,84.43,82.21,10.44776119402985,44.564353391979274
강동구,2022-02,0.1360230634660943,56.5,80.62,82.21,11.940298507462686,46.28126431418575
강동구,2022-03,8.400576586652358,62.07,61.59,79.95,16.417910447761194,45.68569740688271
강동구,2022-04,6.258213337061372,60.24,44.86,79.95,26.86567164179105,43.63477699577048
강동구,2022-05,0.3627281692429183,71.35,40.71,79.3,22.388059701492537,42.822157574147084
강동구,2022-06,50.21076018000385,83.03,28.9,77.69,17.91044776119403,51.54824158823958
강동구,2022-07,37.174064180215446,80.73,10.81,76.72,44.776119402985074,50.042036716640105
강동구,2022-08,72.8167164788163,86.49,14.42,76.72,25.37313432835821,55.1639701614349
강동구,2022-09,32.88818526341244,83.91,23.54,78.33,20.8955223880597,47.91274153029443
강동구,2022-10,20.04418860353433,77.66,46.07,79.95,22.388059701492537,49.22244966100537
강동구,2022-11,13.083189438564805,60.43,57.55,80.91,22.388059701492537,46.87224982801147
강동구,2022-12,0.2607108716433475,62.89,85.06,82.21,11.940298507462686,48.4722018758212
강동구,2023-01,6.972334420258368,52.6,88.33,83.08,22.388059701492537,50.67407882435018
강동구,2023-02,0.0113352552888411,51.34,76.61,83.08,17.91044776119403,45.79035660329658
강동구,2023-03,0.2947166375098711,46.53,54.9,80.89,19.402985074626866,40.40354034242735
강동구,2023-04,13.559270160696132,60.71,50.8,80.89,25.37313432835821,46.266480897810865
강동구,2023-05,27.016523023792697,70.04,39.56,80.26,32.83582089552239,49.94246878386301
강동구,2023-06,26.90317047090429,74.76,33.61,78.7,26.86567164179105,48.16776842253906
강동구,2023-07,64.36061603334076,78.81,36.7,77.76,53.73134328358209,62.27239186338456
강동구,2023-08,28.77348759356308,82.97,37.41,77.76,62.68656716417911,57.920010951548434
강동구,2023-09,20.520269325665662,83.75,50.33,79.32,22.388059701492537,51.26166580543164
강동구,2023-10,6.3488953793721015,66.59,58.16,80.89,20.8955223880597,46.576883553486354
강동구,2023-11,9.148703435715875,66.22,68.73,81.83,16.417910447761194,48.469322776695414
강동구,2023-12,18.967339351094417,60.87,83.83,83.08,14.925373134328357,52.334542497084556
강동구,2024-01,0.7367915937746778,55.53,89.22,80.61,11.940298507462686,47.60741802024747
강동구,2024-02,13.04918367269828,63.67,78.86,80.61,8.955223880597014,49.028881510659055
강동구,2024-03,0.6121037855974247,55.5,68.84,78.24,22.388059701492537,45.11603269741799
강동구,2024-04,1.428242166393991,53.9,45.87,78.24,22.388059701492537,40.3652603735773
