,월,자치구,지역,소음(dB)
349,03월,송파구,residential_area,45.61903965663756
350,03월,송파구,roads_and_parks,59.82543943968323
351,03월,송파구,traditional_markets,56.24999855104644
352,03월,양천구,commercial_area,48.77989122224645
353,03월,양천구,industrial_area,49.734411630515034
354,03월,양천구,main_street,64.54437926392713
355,03월,양천구,residential_area,46.860991712674995
356,03월,양천구,roads_and_parks,62.135410993110696
357,03월,양천구,traditional_markets,45.31776436723683
358,03월,영등포구,commercial_area,48.21682902265052
359,03월,영등포구,industrial_area,46.11383177551611
360,03월,영등포구,residential_area,46.13156241565212
361,03월,영등포구,roads_and_parks,66.96972750994101
362,03월,용산구,commercial_area,44.26233397950072
363,03월,용산구,main_street,60.521870065418454
364,03월,용산구,residential_area,46.2994198504307
365,03월,용산구,roads_and_parks,58.10326951417377
366,03월,은평구,commercial_area,56.370468632735424
367,03월,은평구,main_street,68.94175695748194
368,03월,은평구,parks,60.1009257534907
369,03월,은평구,residential_area,46.646192622958495
370,03월,은평구,roads_and_parks,57.8147630327714
371,03월,종로구,main_street,50.130740105073826
372,03월,종로구,public_facilities,43.00391275391276
373,03월,종로구,residential_area,44.84399259126243
374,03월,종로구,roads_and_parks,60.17963155531062
375,03월,중구,commercial_area,49.85966787741808
376,03월,중구,industrial_area,46.97556262465273
377,03월,중구,main_street,52.313980044324495
378,03월,중구,residential_area,45.842345382712324
379,03월,중구,roads_and_parks,53.030668593937214
380,03월,중랑구,commercial_area,43.36350659415287
381,03월,중랑구,industrial_area,41.20683867969616
382,03월,중랑구,residential_area,45.31088586076718
383,03월,중랑구,roads_and_parks,56.65475792982326
384,03월,중랑구,traditional_markets,43.06154577720288
385,04월,강남구,commercial_area,51.684798122607575
386,04월,강남구,industrial_area,49.107981003901656
387,04월,강남구,main_street,61.426477132888465
388,04월,강남구,residential_area,45.584136536708286
389,04월,강남구,roads_and_parks,59.851598557564735
390,04월,강남구,traditional_markets,48.09407886125943
391,04월,강동구,commercial_area,54.03716929388597
392,04월,강동구,industrial_area,46.42061299310758
393,04월,강동구,main_street,65.36403954058238
394,04월,강동구,parks,55.339539366883116
395,04월,강동구,residential_area,53.71781164657203
396,04월,강동구,roads_and_parks,62.29754547022943
397,04월,강동구,traditional_markets,46.04657117339706
398,04월,강북구,commercial_area,49.20135618440346
399,04월,강북구,parks,54.48157167939115
400,04월,강북구,residential_area,47.09822636385319
401,04월,강북구,roads_and_parks,49.56760643146489
402,04월,강북구,traditional_markets,50.40763163217799
403,04월,강서구,commercial_area,65.52522130395789
404,04월,강서구,industrial_area,50.10088603302048
405,04월,강서구,main_street,59.55435764635812
406,04월,강서구,residential_area,49.319798569065014
407,04월,강서구,roads_and_parks,58.824752914924666
408,04월,강서구,traditional_markets,53.78577151476898
409,04월,관악구,commercial_area,49.80913490579188
410,04월,관악구,industrial_area,43.76344195428498
411,04월,관악구,main_street,58.38917598794648
412,04월,관악구,residential_area,46.33776944796384
413,04월,관악구,roads_and_parks,52.11031138457088
414,04월,관악구,traditional_markets,49.68393808540977
415,04월,광진구,commercial_area,54.94185503658828
416,04월,광진구,main_street,59.07439415423286
417,04월,광진구,residential_area,45.399439500539664
418,04월,광진구,roads_and_parks,66.44330430269709
419,04월,광진구,traditional_markets,48.601328520631995
420,04월,구로구,commercial_area,42.563780344387325
421,04월,구로구,industrial_area,49.79101031544577
422,04월,구로구,residential_area,46.913243697340896
423,04월,구로구,roads_and_parks,64.96908071757781
424,04월,구로구,traditional_markets,43.20402192772578
425,04월,금천구,commercial_area,54.55810930358997
426,04월,금천구,industrial_area,47.35904154653216
427,04월,금천구,public_facilities,42.337007366415655
428,04월,금천구,residential_area,49.03551631637141
429,04월,금천구,roads_and_parks,47.449888698265006
430,04월,노원구,commercial_area,52.558044735064364
431,04월,노원구,industrial_area,42.415468429914995
432,04월,노원구,residential_area,47.33372593733457
433,04월,노원구,roads_and_parks,52.29051508480669
434,04월,노원구,traditional_markets,42.806851529938264
435,04월,도봉구,commercial_area,44.606138100015436
436,04월,도봉구,industrial_area,48.891448349719724
437,04월,도봉구,main_street,58.90125358512455
438,04월,도봉구,residential_area,47.63301544978447
439,04월,도봉구,roads_and_parks,55.79831297854762
440,04월,도봉구,traditional_markets,41.33910798003758
441,04월,동대문구,commercial_area,50.44002468732401
442,04월,동대문구,residential_area,45.45654753240514
443,04월,동대문구,roads_and_parks,64.32954453945855
444,04월,동작구,commercial_area,47.70826078845914
445,04월,동작구,industrial_area,45.79628106725146
446,04월,동작구,residential_area,47.78605685200464
447,04월,동작구,roads_and_parks,54.86324196215185
448,04월,동작구,traditional_markets,47.970768840779144
449,04월,마포구,commercial_area,53.76133821084806
450,04월,마포구,industrial_area,45.56223181773876
451,04월,마포구,main_street,58.188078179989944
452,04월,마포구,residential_area,45.806094121653146
453,04월,마포구,roads_and_parks,67.3483139429507
454,04월,마포구,traditional_markets,44.27749737319349
455,04월,서대문구,commercial_area,44.46006706946345
456,04월,서대문구,public_facilities,53.61663374519058
457,04월,서대문구,residential_area,45.03345582032362
458,04월,서대문구,roads_and_parks,44.366916966038296
459,04월,서대문구,traditional_markets,55.78595900234582
460,04월,서초구,commercial_area,53.91741287461448
461,04월,서초구,industrial_area,43.127694994101276
462,04월,서초구,main_street,66.42539683337988
463,04월,서초구,residential_area,47.50176037331249
464,04월,서초구,roads_and_parks,53.816783024249986
465,04월,성동구,commercial_area,48.87748257376221
466,04월,성동구,industrial_area,47.359327915357085
467,04월,성동구,main_street,52.08085793936242
468,04월,성동구,parks,64.17421721907454
469,04월,성동구,residential_area,46.185847385095165
470,04월,성동구,roads_and_parks,69.81297294837528
471,04월,성북구,commercial_area,56.10767756715089
472,04월,성북구,industrial_area,56.05015414014055
473,04월,성북구,residential_area,45.103195850458924
474,04월,성북구,roads_and_parks,57.85490964636712
475,04월,송파구,commercial_area,46.86763155432429
476,04월,송파구,industrial_area,46.03863389373806
477,04월,송파구,parks,56.65310774411856
478,04월,송파구,residential_area,45.387860752876726
479,04월,송파구,roads_and_parks,59.70711969135556
480,04월,송파구,traditional_markets,56.435777731727256
481,04월,양천구,commercial_area,48.426198034627134
482,04월,양천구,industrial_area,49.19928952465071
483,04월,양천구,main_street,64.84226686548291
484,04월,양천구,residential_area,46.37734491556476
485,04월,양천구,roads_and_parks,62.50153660045343
486,04월,양천구,traditional_markets,44.71346984256383
487,04월,영등포구,commercial_area,48.54826478689021
488,04월,영등포구,industrial_area,45.52436432383935
489,04월,영등포구,residential_area,45.93670900286714
490,04월,영등포구,roads_and_parks,67.215616812243
491,04월,용산구,commercial_area,45.52897169614185
492,04월,용산구,main_street,60.565662115662114
493,04월,용산구,residential_area,46.20932429712601
494,04월,용산구,roads_and_parks,58.05135984986391
495,04월,은평구,commercial_area,56.349399291988405
496,04월,은평구,main_street,68.97641129032257
497,04월,은평구,parks,60.21062372455898
498,04월,은평구,residential_area,46.16349439658317
499,04월,은평구,roads_and_parks,56.09082968045398
500,04월,종로구,main_street,50.8049560312226
501,04월,종로구,public_facilities,41.81381238818737
502,04월,종로구,residential_area,44.057324768234174
503,04월,종로구,roads_and_parks,60.26714068099723
504,04월,중구,commercial_area,49.11778526558686
505,04월,중구,industrial_area,46.07906335271869
506,04월,중구,main_street,52.503463670506704
507,04월,중구,residential_area,45.964189716569194
508,04월,중구,roads_and_parks,52.94998809708256
509,04월,중랑구,commercial_area,43.24630776294278
510,04월,중랑구,industrial_area,48.09263363754889
511,04월,중랑구,residential_area,44.68774427182285
512,04월,중랑구,roads_and_parks,56.578161060134256
513,04월,중랑구,traditional_markets,43.130156252480965
514,05월,강남구,commercial_area,51.89615365191592
515,05월,강남구,industrial_area,49.7155365365955
516,05월,강남구,main_street,61.55012302817468
517,05월,강남구,residential_area,45.45070891098709
518,05월,강남구,roads_and_parks,61.73278675483108
519,05월,강남구,traditional_markets,47.9781818824264
