year,quarter,quarter_label,gu_name,quarter_flow_population,monthly_flow_population
2023,3,2023Q3,은평구,49376000.13,16458666.71
2023,3,2023Q3,종로구,43043611.71,14347870.57
2023,3,2023Q3,중구,43651711.86,14550570.62
2023,3,2023Q3,중랑구,39898095.06,13299365.02
2023,4,2023Q4,강남구,116123625.57,38707875.19
2023,4,2023Q4,강동구,63365083.2,21121694.4
2023,4,2023Q4,강북구,32133132.24,10711044.08
2023,4,2023Q4,강서구,64772503.589999996,21590834.53
2023,4,2023Q4,관악구,52623749.31,17541249.77
2023,4,2023Q4,광진구,46676942.25,15558980.75
2023,4,2023Q4,구로구,46307364.45,15435788.15
2023,4,2023Q4,금천구,26101296.54,8700432.18
2023,4,2023Q4,노원구,57667120.65,19222373.55
2023,4,2023Q4,도봉구,30311506.56,10103835.52
2023,4,2023Q4,동대문구,45913992.12,15304664.04
2023,4,2023Q4,동작구,44901277.44,14967092.48
2023,4,2023Q4,마포구,58624452.69,19541484.23
2023,4,2023Q4,서대문구,45974576.879999995,15324858.959999999
2023,4,2023Q4,서초구,77866919.22,25955639.74
2023,4,2023Q4,성동구,43696876.53,14565625.51
2023,4,2023Q4,성북구,51093444.72,17031148.24
2023,4,2023Q4,송파구,94782157.77,31594052.59
2023,4,2023Q4,양천구,41727367.11,13909122.37
2023,4,2023Q4,영등포구,65079805.23,21693268.41
2023,4,2023Q4,용산구,36987441.39,12329147.13
2023,4,2023Q4,은평구,48957903.24,16319301.08
2023,4,2023Q4,종로구,45326956.59,15108985.53
2023,4,2023Q4,중구,46498873.47,15499624.49
2023,4,2023Q4,중랑구,39373450.8,13124483.6
2024,1,2024Q1,강남구,105639823.23,35213274.41
2024,1,2024Q1,강동구,57914214.36,19304738.12
2024,1,2024Q1,강북구,29498248.95,9832749.65
2024,1,2024Q1,강서구,59662233.84,19887411.28
2024,1,2024Q1,관악구,46871422.41,15623807.469999999
2024,1,2024Q1,광진구,40649774.7,13549924.9
2024,1,2024Q1,구로구,42682807.17,14227602.39
2024,1,2024Q1,금천구,23831925.96,7943975.32
2024,1,2024Q1,노원구,51366060.15,17122020.05
2024,1,2024Q1,도봉구,27647808.81,9215936.27
2024,1,2024Q1,동대문구,38490978.45,12830326.15
2024,1,2024Q1,동작구,39246313.83,13082104.61
2024,1,2024Q1,마포구,52273726.62,17424575.54
2024,1,2024Q1,서대문구,38271428.04,12757142.68
2024,1,2024Q1,서초구,69872623.74,23290874.580000002
2024,1,2024Q1,성동구,38161221.0,12720407.0
2024,1,2024Q1,성북구,42986212.019999996,14328737.34
2024,1,2024Q1,송파구,86774687.67,28924895.89
2024,1,2024Q1,양천구,38325173.31,12775057.77
2024,1,2024Q1,영등포구,59109747.45,19703249.15
2024,1,2024Q1,용산구,32802206.04,10934068.68
2024,1,2024Q1,은평구,45089190.21,15029730.07
2024,1,2024Q1,종로구,38987744.88,12995914.959999999
2024,1,2024Q1,중구,40111430.519999996,13370476.84
2024,1,2024Q1,중랑구,36085296.9,12028432.3
2024,2,2024Q2,강남구,121706992.89,40568997.63
2024,2,2024Q2,강동구,70012973.79,23337657.93
2024,2,2024Q2,강북구,36617597.61,12205865.87
2024,2,2024Q2,강서구,70286744.04,23428914.68
2024,2,2024Q2,관악구,56678657.339999996,18892885.78
2024,2,2024Q2,광진구,52275562.32,17425187.44
2024,2,2024Q2,구로구,51105341.97,17035113.99
2024,2,2024Q2,금천구,27714763.5,9238254.5
2024,2,2024Q2,노원구,64532848.14,21510949.38
2024,2,2024Q2,도봉구,34348921.77,11449640.59
2024,2,2024Q2,동대문구,50603582.76,16867860.92
2024,2,2024Q2,동작구,49163612.46,16387870.82
2024,2,2024Q2,마포구,63835406.52,21278468.84
2024,2,2024Q2,서대문구,49559940.06,16519980.02
2024,2,2024Q2,서초구,82665986.1,27555328.7
2024,2,2024Q2,성동구,47908346.129999995,15969448.709999999
2024,2,2024Q2,성북구,56645884.65,18881961.55
2024,2,2024Q2,송파구,102864369.12,34288123.04
2024,2,2024Q2,양천구,45521601.24,15173867.08
2024,2,2024Q2,영등포구,69367033.47,23122344.49
2024,2,2024Q2,용산구,39326588.22,13108862.74
2024,2,2024Q2,은평구,55283244.24,18427748.08
2024,2,2024Q2,종로구,48487346.55,16162448.85
2024,2,2024Q2,중구,49047180.12,16349060.04
2024,2,2024Q2,중랑구,44779455.42,14926485.14
2024,3,2024Q3,강남구,119708178.69,39902726.230000004
2024,3,2024Q3,강동구,66757534.05,22252511.35
2024,3,2024Q3,강북구,33396823.29,11132274.43
2024,3,2024Q3,강서구,66882352.41,22294117.47
2024,3,2024Q3,관악구,52360476.21,17453492.07
2024,3,2024Q3,광진구,46008071.82,15336023.94
2024,3,2024Q3,구로구,48724774.019999996,16241591.34
2024,3,2024Q3,금천구,26687722.38,8895907.46
2024,3,2024Q3,노원구,57205181.43,19068393.81
2024,3,2024Q3,도봉구,32013411.09,10671137.03
2024,3,2024Q3,동대문구,43995401.46,14665133.82
2024,3,2024Q3,동작구,44471734.89,14823911.63
2024,3,2024Q3,마포구,57985834.919999994,19328611.64
2024,3,2024Q3,서대문구,42956387.22,14318795.74
2024,3,2024Q3,서초구,79318840.05,26439613.35
2024,3,2024Q3,성동구,43370595.27,14456865.09
2024,3,2024Q3,성북구,48913370.79,16304456.93
2024,3,2024Q3,송파구,98382270.06,32794090.02
2024,3,2024Q3,양천구,42792070.38,14264023.46
2024,3,2024Q3,영등포구,66289935.57,22096645.19
2024,3,2024Q3,용산구,36728404.769999996,12242801.59
2024,3,2024Q3,은평구,51763623.87,17254541.29
2024,3,2024Q3,종로구,42676312.8,14225437.6
2024,3,2024Q3,중구,44491463.19,14830487.73
2024,3,2024Q3,중랑구,40629987.15,13543329.05
2024,4,2024Q4,강남구,118477895.46000001,39492631.82
2024,4,2024Q4,강동구,68354981.67,22784993.89
2024,4,2024Q4,강북구,34340020.56,11446673.52
2024,4,2024Q4,강서구,67110769.95,22370256.65
2024,4,2024Q4,관악구,53582943.75,17860981.25
2024,4,2024Q4,광진구,48665002.589999996,16221667.53
2024,4,2024Q4,구로구,49824237.15,16608079.05
2024,4,2024Q4,금천구,26533265.73,8844421.91
2024,4,2024Q4,노원구,59576952.36,19858984.12
2024,4,2024Q4,도봉구,33178956.24,11059652.08
2024,4,2024Q4,동대문구,47697590.13,15899196.71
2024,4,2024Q4,동작구,47125506.15,15708502.05
2024,4,2024Q4,마포구,60294333.21,20098111.07
2024,4,2024Q4,서대문구,46105116.15,15368372.05
2024,4,2024Q4,서초구,80209325.88,26736441.96
2024,4,2024Q4,성동구,46225503.72,15408501.24
2024,4,2024Q4,성북구,52937323.53,17645774.51
2024,4,2024Q4,송파구,97782341.73,32594113.91
2024,4,2024Q4,양천구,43190737.65,14396912.55
2024,4,2024Q4,영등포구,66790120.410000004,22263373.47
2024,4,2024Q4,용산구,37515247.5,12505082.5
2024,4,2024Q4,은평구,52755295.68,17585098.56
2024,4,2024Q4,종로구,46883794.08,15627931.36
2024,4,2024Q4,중구,48139224.21,16046408.07
2024,4,2024Q4,중랑구,41634535.65,13878178.55
