`RAINGAUGE_CODE`|`RAINGAUGE_NAME`|`GU_CODE`|`GU_NAME`|`RAINFALLHOUR`|`RAINFALLACCU`|`RAINFALLMAX`|`RECEIVE_TIME`|`LIST_TIME`
`2301`|`관악구청`|`123`|`관악구`|`0`|`409.5`|`16.5`|`2020-07-17 11:41:40`|`2020-07-17 11:41:59`
`2301`|`관악구청`|`123`|`관악구`|`0`|`409.5`|`16.5`|`2020-07-17 11:43:40`|`2020-07-17 11:43:57`
`2302`|`신림P`|`123`|`관악구`|`0`|`383`|`22`|`2020-07-17 11:27:41`|`2020-07-17 11:27:54`
`2301`|`관악구청`|`123`|`관악구`|`0`|`409.5`|`16.5`|`2020-07-17 11:44:40`|`2020-07-17 11:45:01`
`2302`|`신림P`|`123`|`관악구`|`0`|`383`|`22`|`2020-07-17 11:28:41`|`2020-07-17 11:29:13`
`2301`|`관악구청`|`123`|`관악구`|`0`|`409.5`|`16.5`|`2020-07-17 11:45:40`|`2020-07-17 11:46:01`
`2302`|`신림P`|`123`|`관악구`|`0`|`383`|`22`|`2020-07-17 11:29:41`|`2020-07-17 11:29:46`
`2302`|`신림P`|`123`|`관악구`|`0`|`383`|`22`|`2020-07-17 11:31:40`|`2020-07-17 11:31:54`
`2302`|`신림P`|`123`|`관악구`|`0`|`383`|`22`|`2020-07-17 11:32:40`|`2020-07-17 11:32:56`
`2302`|`신림P`|`123`|`관악구`|`0`|`383`|`22`|`2020-07-17 11:34:40`|`2020-07-17 11:34:55`
`2302`|`신림P`|`123`|`관악구`|`0`|`383`|`22`|`2020-07-17 11:30:42`|`2020-07-17 11:30:57`
`2302`|`신림P`|`123`|`관악구`|`0`|`383`|`22`|`2020-07-17 11:33:40`|`2020-07-17 11:34:02`
`2302`|`신림P`|`123`|`관악구`|`0`|`383`|`22`|`2020-07-17 11:35:40`|`2020-07-17 11:35:48`
`2302`|`신림P`|`123`|`관악구`|`0`|`383`|`22`|`2020-07-17 11:37:40`|`2020-07-17 11:37:53`
`2302`|`신림P`|`123`|`관악구`|`0`|`383`|`22`|`2020-07-17 11:36:40`|`2020-07-17 11:36:59`
`2302`|`신림P`|`123`|`관악구`|`0`|`383`|`22`|`2020-07-17 11:38:40`|`2020-07-17 11:38:56`
`2302`|`신림P`|`123`|`관악구`|`0`|`383`|`22`|`2020-07-17 11:42:41`|`2020-07-17 11:43:06`
`2302`|`신림P`|`123`|`관악구`|`0`|`383`|`22`|`2020-07-17 11:41:41`|`2020-07-17 11:41:59`
`2302`|`신림P`|`123`|`관악구`|`0`|`383`|`22`|`2020-07-17 11:40:41`|`2020-07-17 11:40:56`
`2302`|`신림P`|`123`|`관악구`|`0`|`383`|`22`|`2020-07-17 11:39:40`|`2020-07-17 11:40:01`
`2302`|`신림P`|`123`|`관악구`|`0`|`383`|`22`|`2020-07-17 11:43:41`|`2020-07-17 11:43:57`
`2302`|`신림P`|`123`|`관악구`|`0`|`383`|`22`|`2020-07-17 11:45:42`|`2020-07-17 11:46:01`
`2401`|`서초구청`|`124`|`서초구`|`0`|`484.5`|`17`|`2020-07-17 11:27:41`|`2020-07-17 11:28:14`
`2401`|`서초구청`|`124`|`서초구`|`0`|`484.5`|`17`|`2020-07-17 11:28:41`|`2020-07-17 11:29:13`
`2401`|`서초구청`|`124`|`서초구`|`0`|`484.5`|`17`|`2020-07-17 11:29:40`|`2020-07-17 11:30:15`
`2401`|`서초구청`|`124`|`서초구`|`0`|`484.5`|`17`|`2020-07-17 11:30:40`|`2020-07-17 11:31:17`
`2302`|`신림P`|`123`|`관악구`|`0`|`383`|`22`|`2020-07-17 11:44:41`|`2020-07-17 11:45:01`
`2401`|`서초구청`|`124`|`서초구`|`0`|`484.5`|`17`|`2020-07-17 11:32:40`|`2020-07-17 11:33:14`
`2401`|`서초구청`|`124`|`서초구`|`0`|`484.5`|`17`|`2020-07-17 11:34:41`|`2020-07-17 11:35:20`
`2401`|`서초구청`|`124`|`서초구`|`0`|`484.5`|`17`|`2020-07-17 11:31:40`|`2020-07-17 11:32:11`
`2401`|`서초구청`|`124`|`서초구`|`0`|`484.5`|`17`|`2020-07-17 11:35:40`|`2020-07-17 11:36:02`
`2401`|`서초구청`|`124`|`서초구`|`0`|`484.5`|`17`|`2020-07-17 11:33:41`|`2020-07-17 11:34:02`
`2401`|`서초구청`|`124`|`서초구`|`0`|`484.5`|`17`|`2020-07-17 11:36:40`|`2020-07-17 11:37:27`
`2401`|`서초구청`|`124`|`서초구`|`0`|`484.5`|`17`|`2020-07-17 11:40:41`|`2020-07-17 11:41:21`
`2401`|`서초구청`|`124`|`서초구`|`0`|`484.5`|`17`|`2020-07-17 11:39:41`|`2020-07-17 11:40:01`
`2401`|`서초구청`|`124`|`서초구`|`0`|`484.5`|`17`|`2020-07-17 11:38:41`|`2020-07-17 11:39:18`
`2401`|`서초구청`|`124`|`서초구`|`0`|`484.5`|`17`|`2020-07-17 11:42:41`|`2020-07-17 11:43:06`
`2401`|`서초구청`|`124`|`서초구`|`0`|`484.5`|`17`|`2020-07-17 11:43:41`|`2020-07-17 11:44:18`
`2401`|`서초구청`|`124`|`서초구`|`0`|`484.5`|`17`|`2020-07-17 11:37:41`|`2020-07-17 11:38:04`
`2401`|`서초구청`|`124`|`서초구`|`0`|`484.5`|`17`|`2020-07-17 11:41:41`|`2020-07-17 11:41:59`
`2401`|`서초구청`|`124`|`서초구`|`0`|`484.5`|`17`|`2020-07-17 11:44:41`|`2020-07-17 11:45:01`
`2402`|`반포P`|`124`|`서초구`|`0`|`420.5`|`18.5`|`2020-07-17 11:27:42`|`2020-07-17 11:28:14`
`2401`|`서초구청`|`124`|`서초구`|`0`|`484.5`|`17`|`2020-07-17 11:45:41`|`2020-07-17 11:46:01`
`2402`|`반포P`|`124`|`서초구`|`0`|`420.5`|`18.5`|`2020-07-17 11:29:42`|`2020-07-17 11:30:15`
`2402`|`반포P`|`124`|`서초구`|`0`|`420.5`|`18.5`|`2020-07-17 11:28:42`|`2020-07-17 11:29:13`
`2402`|`반포P`|`124`|`서초구`|`0`|`420.5`|`18.5`|`2020-07-17 11:30:41`|`2020-07-17 11:31:17`
`2402`|`반포P`|`124`|`서초구`|`0`|`420.5`|`18.5`|`2020-07-17 11:31:40`|`2020-07-17 11:32:11`
