자치구,스트레스분류,해결태그,장소명,카테고리,도로명주소,경도,위도,전화번호,플레이스URL,_global_excluded,_tag_match
강북구,소음,키워드:산책코스,북한산둘레길1구간(소나무숲길),"여행,명소>도보코스",,127.0088843,37.6589409,,,False,True
강북구,소음,키워드:산책코스,북한산둘레길3구간(흰구름길),"여행,명소>도보코스",,127.0084684,37.6322959,,,False,True
강북구,소음,키워드:산책코스,북한산둘레길2구간(순례길),"여행,명소>도보코스",서울특별시 강북구,127.0046373,37.64685,,,False,True
강북구,소음,키워드:산책코스,강북구우이천테마산책길A,"여행,명소>도보코스",,127.0377518,37.6354603,,,False,True
강북구,소음,키워드:산책코스,강북구우이천테마산책길B,"여행,명소>도보코스",,127.033514,37.6397406,,,False,True
강서구,소음,키워드:조용한 카페,스타벅스 방화DT점,"카페,디저트>카페",서울특별시 강서구 방화대로 375 (방화동),126.8164205,37.5744367,,http://www.starbucks.co.kr/,False,True
강서구,소음,키워드:조용한 카페,광화문살롱,"카페,디저트>베이커리",서울특별시 강서구 공항대로45길 63 1층 광화문살롱,126.8560235,37.5577297,,https://smartstore.naver.com/pcomgwang,False,True
강서구,소음,키워드:조용한 카페,파리바게뜨 염창역점,"카페,디저트>베이커리",서울특별시 강서구 공항대로 629 1층,126.8748185,37.5472054,,http://www.paris.co.kr/,False,True
강서구,소음,키워드:조용한 카페,헤븐온탑 롯데몰김포공항점,"음식점>카페,디저트",서울특별시 강서구 하늘길 77 롯데몰 김포공항점 GF,126.8020863,37.5627778,,http://overthedish.com/heaven-on-top/,False,True
강서구,소음,키워드:조용한 카페,루브레드,"카페,디저트>베이커리",서울특별시 강서구 화곡로64길 70,126.856841,37.5559949,,http://www.instagram.com/ru__bread,False,True
강서구,소음,키워드:도서관,강서구립가양도서관,"교육,학문>군구립도서관",서울특별시 강서구 양천로61길 101,126.8653386,37.559397,,http://lib.gangseo.seoul.kr/,False,True
강서구,소음,키워드:도서관,서울특별시교육청 강서도서관,"교육,학문>도서관",서울특별시 강서구 등촌로51나길 29 강서도서관,126.8599268,37.5478818,,http://gslib.sen.go.kr/,False,True
강서구,소음,키워드:도서관,강서구립 곰달래도서관,"교육,학문>도서관",서울특별시 강서구 강서로5길 50,126.8490778,37.5291121,,https://www.instagram.com/gdl_library/,False,True
강서구,소음,키워드:도서관,강서구립등빛도서관,"교육,학문>군구립도서관",서울특별시 강서구 강서로62길 48,126.8423536,37.5624339,,http://lib.gangseo.seoul.kr/,False,True
