YEAR,MONTH,gu_code,gu_name,total_geton,total_getoff,total_passenger
2022,5,11710.0,송파구,7357270,6869255,14226525
2022,5,11470.0,양천구,1658327,1609736,3268063
2022,5,11560.0,영등포구,3189784,4036666,7226450
2022,5,11170.0,용산구,2151070,2137115,4288185
2022,5,11380.0,은평구,3427095,3180038,6607133
2022,5,11110.0,종로구,5484431,5235175,10719606
2022,5,11140.0,중구,7293836,7185303,14479139
2022,5,11260.0,중랑구,2086630,1957862,4044492
2022,6,11680.0,강남구,10394778,10372473,20767251
2022,6,11740.0,강동구,3787042,3569621,7356663
2022,6,11305.0,강북구,1753589,2001034,3754623
2022,6,11500.0,강서구,2932697,3729307,6662004
2022,6,11620.0,관악구,3625722,3323919,6949641
2022,6,11215.0,광진구,4947360,4746322,9693682
2022,6,11530.0,구로구,3544420,3370697,6915117
2022,6,11545.0,금천구,604903,584844,1189747
2022,6,11350.0,노원구,3956658,3761761,7718419
2022,6,11320.0,도봉구,1385358,1359986,2745344
2022,6,11230.0,동대문구,1330529,1223425,2553954
2022,6,11590.0,동작구,4340269,4608939,8949208
2022,6,11440.0,마포구,6120282,5938229,12058511
2022,6,11410.0,서대문구,1650516,1578921,3229437
2022,6,11650.0,서초구,5374979,5424160,10799139
2022,6,11200.0,성동구,3755577,3697308,7452885
2022,6,11290.0,성북구,2537657,2550701,5088358
2022,6,11710.0,송파구,6978902,6502651,13481553
2022,6,11470.0,양천구,1584032,1536765,3120797
2022,6,11560.0,영등포구,2958037,3742640,6700677
2022,6,11170.0,용산구,2035511,2010159,4045670
2022,6,11380.0,은평구,3237109,3010764,6247873
2022,6,11110.0,종로구,5081820,4838511,9920331
2022,6,11140.0,중구,6969895,6820210,13790105
2022,6,11260.0,중랑구,1917631,1819890,3737521
2022,7,11680.0,강남구,10872777,10809662,21682439
2022,7,11740.0,강동구,3854714,3640872,7495586
2022,7,11305.0,강북구,1763739,2021558,3785297
2022,7,11500.0,강서구,2986664,3794844,6781508
2022,7,11620.0,관악구,3702198,3394903,7097101
2022,7,11215.0,광진구,4951336,4762309,9713645
2022,7,11530.0,구로구,3595344,3409473,7004817
2022,7,11545.0,금천구,621195,596380,1217575
2022,7,11350.0,노원구,3995020,3805392,7800412
2022,7,11320.0,도봉구,1382640,1367547,2750187
2022,7,11230.0,동대문구,1353909,1249177,2603086
2022,7,11590.0,동작구,4326319,4574678,8900997
2022,7,11440.0,마포구,6358905,6169720,12528625
2022,7,11410.0,서대문구,1659690,1581121,3240811
2022,7,11650.0,서초구,5468804,5521752,10990556
2022,7,11200.0,성동구,3771269,3713350,7484619
2022,7,11290.0,성북구,2495180,2510645,5005825
2022,7,11710.0,송파구,7224451,6747119,13971570
2022,7,11470.0,양천구,1605951,1557853,3163804
2022,7,11560.0,영등포구,3008138,3818279,6826417
2022,7,11170.0,용산구,2050266,2026922,4077188
2022,7,11380.0,은평구,3283254,3059735,6342989
2022,7,11110.0,종로구,5098367,4840551,9938918
2022,7,11140.0,중구,7155347,6970926,14126273
2022,7,11260.0,중랑구,1922759,1830296,3753055
2022,8,11680.0,강남구,10424192,10310781,20734973
2022,8,11740.0,강동구,3718120,3525667,7243787
2022,8,11305.0,강북구,1694355,1953762,3648117
2022,8,11500.0,강서구,2896126,3678205,6574331
2022,8,11620.0,관악구,3567783,3278426,6846209
2022,8,11215.0,광진구,4799426,4624914,9424340
2022,8,11530.0,구로구,3488436,3309124,6797560
2022,8,11545.0,금천구,602698,578180,1180878
2022,8,11350.0,노원구,3825880,3652452,7478332
2022,8,11320.0,도봉구,1333544,1321184,2654728
2022,8,11230.0,동대문구,1318081,1221139,2539220
2022,8,11590.0,동작구,4131271,4372691,8503962
2022,8,11440.0,마포구,6108537,5931256,12039793
2022,8,11410.0,서대문구,1609856,1537264,3147120
2022,8,11650.0,서초구,5266650,5278051,10544701
2022,8,11200.0,성동구,3645286,3592182,7237468
2022,8,11290.0,성북구,2405575,2427916,4833491
2022,8,11710.0,송파구,6937719,6470199,13407918
2022,8,11470.0,양천구,1553678,1514539,3068217
2022,8,11560.0,영등포구,2960559,3739524,6700083
2022,8,11170.0,용산구,2001031,1977579,3978610
2022,8,11380.0,은평구,3152602,2954280,6106882
2022,8,11110.0,종로구,4933641,4675196,9608837
2022,8,11140.0,중구,6985140,6782940,13768080
2022,8,11260.0,중랑구,1855567,1771955,3627522
2022,9,11680.0,강남구,10116708,10033957,20150665
2022,9,11740.0,강동구,3720754,3508799,7229553
2022,9,11305.0,강북구,1748462,2021091,3769553
2022,9,11500.0,강서구,2882408,3652634,6535042
2022,9,11620.0,관악구,3567183,3268501,6835684
2022,9,11215.0,광진구,5005610,4809550,9815160
2022,9,11530.0,구로구,3502552,3321178,6823730
2022,9,11545.0,금천구,593940,569759,1163699
2022,9,11350.0,노원구,3981464,3791114,7772578
2022,9,11320.0,도봉구,1375180,1363538,2738718
2022,9,11230.0,동대문구,1343352,1236795,2580147
2022,9,11590.0,동작구,4290741,4574695,8865436
2022,9,11440.0,마포구,6238361,6051971,12290332
2022,9,11410.0,서대문구,1722486,1647877,3370363
2022,9,11650.0,서초구,5384350,5428487,10812837
2022,9,11200.0,성동구,3779872,3717855,7497727
2022,9,11290.0,성북구,2699067,2711333,5410400
2022,9,11710.0,송파구,7018538,6561485,13580023
2022,9,11470.0,양천구,1565297,1519486,3084783
2022,9,11560.0,영등포구,2972862,3745620,6718482
2022,9,11170.0,용산구,2048775,2036142,4084917
2022,9,11380.0,은평구,3201251,2985553,6186804
2022,9,11110.0,종로구,5129354,4874660,10004014
2022,9,11140.0,중구,7179339,6991001,14170340
2022,9,11260.0,중랑구,1904743,1814504,3719247
2022,10,11680.0,강남구,10595282,10516457,21111739
2022,10,11740.0,강동구,3935026,3714651,7649677
2022,10,11305.0,강북구,1842337,2127030,3969367
2022,10,11500.0,강서구,3035765,3862408,6898173
2022,10,11620.0,관악구,3747610,3440102,7187712
2022,10,11215.0,광진구,5230136,5022806,10252942
2022,10,11530.0,구로구,3705586,3514885,7220471
2022,10,11545.0,금천구,608687,583743,1192430
2022,10,11350.0,노원구,4176003,3972978,8148981
2022,10,11320.0,도봉구,1448980,1435492,2884472
2022,10,11230.0,동대문구,1417192,1303646,2720838
2022,10,11590.0,동작구,4531448,4837963,9369411
2022,10,11440.0,마포구,6746738,6535103,13281841
2022,10,11410.0,서대문구,1801496,1727882,3529378
2022,10,11650.0,서초구,5648526,5686780,11335306
2022,10,11200.0,성동구,3988089,3914501,7902590
2022,10,11290.0,성북구,2792505,2811189,5603694
2022,10,11710.0,송파구,7558485,7038119,14596604
2022,10,11470.0,양천구,1637263,1588503,3225766
2022,10,11560.0,영등포구,3130096,3970509,7100605
2022,10,11170.0,용산구,2359733,2343465,4703198
2022,10,11380.0,은평구,3369543,3150778,6520321
2022,10,11110.0,종로구,5741204,5436259,11177463
2022,10,11140.0,중구,7937853,7734204,15672057
2022,10,11260.0,중랑구,1996013,1901979,3897992
2022,11,11680.0,강남구,11008902,10913463,21922365
2022,11,11740.0,강동구,3953995,3748176,7702171
2022,11,11305.0,강북구,1836068,2135418,3971486
2022,11,11500.0,강서구,3061528,3897784,6959312
2022,11,11620.0,관악구,3768234,3465675,7233909
2022,11,11215.0,광진구,5193733,4988773,10182506
2022,11,11530.0,구로구,3781424,3573316,7354740
2022,11,11545.0,금천구,655100,626375,1281475
2022,11,11350.0,노원구,4212298,4015082,8227380
2022,11,11320.0,도봉구,1456466,1438200,2894666
2022,11,11230.0,동대문구,1404083,1293137,2697220
2022,11,11590.0,동작구,4586743,4896295,9483038
2022,11,11440.0,마포구,6601335,6416042,13017377
2022,11,11410.0,서대문구,1865814,1792499,3658313
2022,11,11650.0,서초구,5736790,5764760,11501550
2022,11,11200.0,성동구,4101114,4035015,8136129
2022,11,11290.0,성북구,2836690,2867564,5704254
2022,11,11710.0,송파구,7319216,6818356,14137572
2022,11,11470.0,양천구,1648238,1615903,3264141
2022,11,11560.0,영등포구,3202812,4038100,7240912
2022,11,11170.0,용산구,2124414,2054381,4178795
2022,11,11380.0,은평구,3379267,3161261,6540528
2022,11,11110.0,종로구,5613034,5300998,10914032
2022,11,11140.0,중구,8060102,7840090,15900192
2022,11,11260.0,중랑구,2011512,1921990,3933502
2022,12,11680.0,강남구,11340516,11245775,22586291
2022,12,11740.0,강동구,4089897,3864962,7954859
2022,12,11305.0,강북구,1882699,2181416,4064115
2022,12,11500.0,강서구,3141059,3983681,7124740
2022,12,11620.0,관악구,3831249,3510385,7341634
2022,12,11215.0,광진구,5231473,5036152,10267625
2022,12,11530.0,구로구,3807847,3597454,7405301
2022,12,11545.0,금천구,654189,620573,1274762
2022,12,11350.0,노원구,4256241,4056940,8313181
2022,12,11320.0,도봉구,1462340,1443471,2905811
