연도,자치구코드,모형,연평균_스트레스점수,연합계_총이동인구수,연평균_평균이동시간,월개수
2022,31030,PCA기반,7.984216565065839,2722885.14,74.70682810636964,1
2022,31030,문헌기반,7.525047000936909,2722885.14,74.70682810636964,1
2022,31041,CRITIC기반,4.880889488847922,984241.99,72.96929385277383,1
2022,31041,PCA기반,3.851874426896873,984241.99,72.96929385277383,1
2022,31041,문헌기반,3.9501336352924032,984241.99,72.96929385277383,1
2022,31042,CRITIC기반,6.19094068257506,1449991.57,77.65281247620659,1
2022,31042,PCA기반,5.284232560893907,1449991.57,77.65281247620659,1
2022,31042,문헌기반,5.272702952954852,1449991.57,77.65281247620659,1
2022,31050,CRITIC기반,8.112537143712752,4303991.8,69.20113489228459,1
2022,31050,PCA기반,10.737694469374377,4303991.8,69.20113489228459,1
2022,31050,문헌기반,9.851421279132209,4303991.8,69.20113489228459,1
2022,31060,CRITIC기반,4.14531205383225,2811282.25,56.85026103811952,1
2022,31060,PCA기반,6.070877614389959,2811282.25,56.85026103811952,1
2022,31060,문헌기반,5.659081293082225,2811282.25,56.85026103811952,1
2022,31070,CRITIC기반,13.000017410826725,454735.1,126.92214096822971,1
2022,31070,PCA기반,6.904027540549207,454735.1,126.92214096822971,1
2022,31070,문헌기반,7.909750066091323,454735.1,126.92214096822971,1
2022,31080,CRITIC기반,9.433840780001315,278043.41,106.4981754418431,1
2022,31080,PCA기반,4.803008979121314,278043.41,106.4981754418431,1
2022,31080,문헌기반,5.633224512221836,278043.41,106.4981754418431,1
2022,31091,CRITIC기반,8.378641302027313,513584.42,98.09005297041854,1
2022,31091,PCA기반,4.77132351552587,513584.42,98.09005297041854,1
2022,31091,문헌기반,5.355085320664019,513584.42,98.09005297041854,1
2022,31092,CRITIC기반,9.253696366256772,582821.34,102.76819674714808,1
2022,31092,PCA기반,5.358901563272932,582821.34,102.76819674714808,1
2022,31092,문헌기반,5.960898616437189,582821.34,102.76819674714808,1
2022,31101,CRITIC기반,7.516621264240148,4134418.0,66.59021494194631,1
2022,31101,PCA기반,10.155650306795248,4134418.0,66.59021494194631,1
2022,31101,문헌기반,9.336919997244154,4134418.0,66.59021494194631,1
2022,31103,CRITIC기반,6.631875219336352,1626479.26,78.62142140480827,1
2022,31103,PCA기반,5.861016203603082,1626479.26,78.62142140480827,1
2022,31103,문헌기반,5.78158643805155,1626479.26,78.62142140480827,1
2022,31104,CRITIC기반,7.394715512231694,1195416.2,86.27888987028687,1
