gu,total_pop,avg_time,total_time,pop_norm,avg_norm,total_norm,stress_score,model,w_pop,w_avg,w_total
37100,226.5,255.21052631578948,57805.18421052632,0.00039602951042808494,0.6820821902789369,0.0022451921790732853,23.93560183131352,literature,0.45,0.35,0.2
32050,123.47,255.40740740740742,31535.152592592593,0.00021317157164792185,0.6827063036890816,0.001208638994769396,23.928486129737397,literature,0.45,0.35,0.2
21110,161.14,254.69230769230768,41041.118461538455,0.0002800283954259354,0.6804394363219987,0.0015837218776013028,23.859655986616144,literature,0.45,0.35,0.2
22310,167.06,254.4418604651163,42507.05720930233,0.00029053522836370666,0.6796455181669376,0.0016415643461254658,23.833498508041693,literature,0.45,0.35,0.2
35380,49.41,254.26666666666668,12563.315999999999,8.17296717541154e-05,0.6790901535146593,0.00046005528850845634,23.781034314012174,literature,0.45,0.35,0.2
21070,232.49,253.25,58878.0925,0.00040666057956613384,0.675867318375442,0.0022875265972458455,23.71940640116586,literature,0.45,0.35,0.2
35370,47.62,251.91666666666666,11996.271666666666,7.85527746327285e-05,0.6716406493404029,0.00043768106308282384,23.519711223034232,literature,0.45,0.35,0.2
38330,13.08,251.5,3289.62,1.7251083809989183e-05,0.6703198152669532,9.413722419581335e-05,23.463852577598722,literature,0.45,0.35,0.2
26030,65.72,250.71428571428572,16476.942857142858,0.00011067670641881947,0.6678290995855909,0.0006144777284943786,23.391288491854414,literature,0.45,0.35,0.2
38114,81.5,249.84,20361.96,0.00013868309556713525,0.6650576123183296,0.0007677712969632738,23.298612596381318,literature,0.45,0.35,0.2
37020,195.07999999999998,249.44444444444446,48661.62222222222,0.00034026520453200876,0.6638037005046014,0.0018844088944278863,23.286129629753546,literature,0.45,0.35,0.2
21080,222.73,249.23214285714286,55511.475178571425,0.0003893385036417002,0.6631307040957484,0.0021546878570565444,23.270188633156195,literature,0.45,0.35,0.2
32400,49.16,249.21428571428572,12251.374285714286,8.12859710388379e-05,0.663074096921172,0.00044774680780456055,23.220206197093855,literature,0.45,0.35,0.2
21090,407.03,247.24107142857142,100634.53330357141,0.0007164346709442729,0.6568190041304779,0.003935136783241625,23.099607440424048,literature,0.45,0.35,0.2
36440,44.190000000000005,247.25,10925.9775,7.246520081912122e-05,0.6568473077177662,0.0003954497920004227,23.000825699998686,literature,0.45,0.35,0.2
38100,111.67999999999999,243.4857142857143,27192.48457142857,0.00019224664591543496,0.6449145153170577,0.0010372876073337118,22.601404887309887,literature,0.45,0.35,0.2
38380,64.15,243.05882352941177,15592.223529411765,0.00010789026592687679,0.6435612708613015,0.0005795688007202372,22.54109091812667,literature,0.45,0.35,0.2
36310,62.98,242.75,15288.394999999999,0.00010581374657937807,0.6425822997245093,0.00056758044706218,22.50649371789514,literature,0.45,0.35,0.2
35320,16.71,242.8,4057.1880000000006,2.3693618195818475e-05,0.6427407998133233,0.00012442363824133814,22.499482679049954,literature,0.45,0.35,0.2
32070,50.089999999999996,242.46666666666667,12145.155333333332,8.29365376996702e-05,0.6416841325545636,0.0004435556596961305,22.471547896800132,literature,0.45,0.35,0.2
22040,121.87,240.6,29321.922,0.00021033188707014587,0.6357667959055089,0.001121310161225682,22.28372899483548,literature,0.45,0.35,0.2
36010,188.8,239.69387755102042,45254.204081632655,0.00032911944256423803,0.6328943861327171,0.0017499602506176601,22.20111309457284,literature,0.45,0.35,0.2
22070,417.86,239.07258064516128,99898.8685483871,0.0007356557859300941,0.6309248738375467,0.00390610919562175,22.193597278593423,literature,0.45,0.35,0.2
35340,13.05,240.0,3132.0,1.7197839724155883e-05,0.6338647948397413,8.791791257540236e-05,22.18780008043004,literature,0.45,0.35,0.2
21140,111.11,237.45945945945945,26384.120540540538,0.00019123500828460227,0.6258112768135182,0.001005391478601164,21.932108093417966,literature,0.45,0.35,0.2
26040,96.61,236.90625,22887.5128125,0.00016550036679850732,0.6240576018443772,0.0008674236250608686,21.86681205356035,literature,0.45,0.35,0.2
37320,66.45,235.4,15642.330000000002,0.00011197231250742978,0.6192827866688565,0.0005815458832908958,21.691567205138625,literature,0.45,0.35,0.2
22030,55.42,234.1578947368421,12977.03052631579,9.23962369493865e-05,0.6153453107783201,0.00047637948316045877,21.55077129756713,literature,0.45,0.35,0.2
22060,608.61,232.6057142857143,141566.16377142858,0.0010741994316868263,0.610424895991139,0.005550201908296263,21.5242143722817,literature,0.45,0.35,0.2
36020,171.57,233.11320754716982,39995.233018867926,0.00029853958926731274,0.6120336505314028,0.001542453716915987,21.46546112445445,literature,0.45,0.35,0.2
35330,28.48,232.875,6632.28,4.458304787108315e-05,0.6112785321837513,0.0002260306652634631,21.40127547689076,literature,0.45,0.35,0.2
21010,40.37,232.84615384615384,9399.99923076923,6.568545388968103e-05,0.6111870898248202,0.00033523830626053204,21.40120875541895,literature,0.45,0.35,0.2
26010,79.9,232.56,18581.544,0.00013584341098935927,0.6102799816242234,0.0006975203014172416,21.379862716370685,literature,0.45,0.35,0.2
37410,40.71,232.0909090909091,9448.42090909091,6.628888686245843e-05,0.6087929626091687,0.0003371489109215257,21.317479669448144,literature,0.45,0.35,0.2
