연월,출발_자치구코드,도착_자치구코드,start_arv_place_type,총이동인구수,인구가중평균이동시간
2022-01,11010,31092,WH,4471.5,117.8348764396735
2022-01,11010,31101,EH,84979.62,86.71277536896494
2022-01,11010,31101,WH,90769.19,74.15733422320943
2022-01,11010,31103,EH,41211.2,98.74446509686688
2022-01,11010,31103,WH,32632.47,86.39832167163564
2022-01,11010,31104,EH,35618.26,103.62094919852906
2022-01,11010,31104,WH,31310.14,89.68430706474005
2022-01,11010,31110,EH,12821.79,90.6481403922541
2022-01,11010,31110,WH,10177.42,76.95732022457558
2022-01,11010,31120,EH,25331.35,93.84964836062824
2022-01,11010,31120,WH,22053.62,77.53909108799371
2022-01,11010,31130,EH,67210.57,107.40913683666125
2022-01,11010,31130,WH,58642.68,90.39358603665453
2022-01,11010,31140,EH,5741.93,144.8918447281663
2022-01,11010,31140,WH,1848.32,124.47128202908588
2022-01,11010,31150,EH,14987.16,125.44246408258803
2022-01,11010,31150,WH,8236.09,106.7777950459502
2022-01,11010,31160,EH,18056.25,112.13575576323987
2022-01,11010,31160,WH,12088.67,93.86085731515543
2022-01,11010,31170,EH,10375.09,110.31193175191733
2022-01,11010,31170,WH,6216.29,91.22786259971784
2022-01,11010,31180,EH,31545.31,102.47364917320513
2022-01,11010,31180,WH,24906.7,91.00758390312646
2022-01,11010,31191,EH,8737.16,135.5646663217796
2022-01,11010,31191,WH,3183.31,113.81740703858561
2022-01,11010,31192,EH,28437.53,119.27617869765764
2022-01,11010,31192,WH,15916.92,103.39710320840966
2022-01,11010,31193,EH,30456.17,113.17624540446157
2022-01,11010,31193,WH,18588.79,98.46211022879918
2022-01,11010,31200,EH,28667.17,118.14534570381382
2022-01,11010,31200,WH,17039.579999999998,100.99658324911766
2022-01,11010,31210,EH,4058.18,157.02927667082287
2022-01,11010,31210,WH,879.01,130.07123923504852
2022-01,11010,31220,EH,3058.87,162.9704825638226
2022-01,11010,31220,WH,427.62,146.72842710818017
2022-01,11010,31230,EH,34070.33,111.16052941078057
2022-01,11010,31230,WH,23297.649999999998,96.76962783800083
2022-01,11010,31240,EH,21361.19,136.17683986706734
2022-01,11010,31240,WH,8386.24,114.26493875682071
2022-01,11010,31250,EH,18455.27,125.36791875708131
2022-01,11010,31250,WH,8941.71,106.3074054067958
2022-01,11010,31260,EH,20308.89,117.9434784471234
2022-01,11010,31260,WH,15469.31,98.0695738853252
2022-01,11010,31270,EH,6569.55,143.26684628323096
2022-01,11010,31270,WH,1423.96,124.13227899660102
2022-01,11010,31280,EH,2313.92,183.84232817037753
2022-01,11010,31280,WH,276.99,148.66612513087114
2022-01,11010,31350,EH,1814.46,161.48880107580214
2022-01,11010,31350,WH,265.83,127.11695444456984
2022-01,11010,31370,EH,3240.72,149.85422683848034
2022-01,11010,31370,WH,768.92,121.5709176507309
2022-01,11010,31380,EH,9079.53,137.28838827560458
2022-01,11010,31380,WH,5318.87,118.98683742975483
2022-01,11010,32010,EH,5238.2699999999995,180.54950584830488
2022-01,11010,32010,WH,878.08,157.19213511297374
2022-01,11010,32020,EH,4042.56,172.75742104013298
2022-01,11010,32020,WH,645.3,160.82329149232916
2022-01,11010,32030,EH,1214.06,243.16456353063276
2022-01,11010,32030,WH,33.61,174.6750966974115
2022-01,11010,32040,EH,405.02,264.0727371487828
2022-01,11010,32040,WH,2.19,217.0
2022-01,11010,32050,EH,312.17,306.15943236057274
2022-01,11010,32060,EH,530.88,263.6156005123568
2022-01,11010,32060,WH,3.32,253.0
2022-01,11010,32070,EH,252.44,301.2474647440976
2022-01,11010,32070,WH,5.44,240.99999999999997
2022-01,11010,32310,EH,907.02,189.32345483010297
2022-01,11010,32310,WH,26.16,188.11391437308868
2022-01,11010,32320,EH,511.69,174.50425062049288
2022-01,11010,32320,WH,84.75999999999999,130.67295894289762
2022-01,11010,32330,EH,169.65,245.81361626878868
2022-01,11010,32330,WH,13.36,200.25000000000003
2022-01,11010,32340,EH,475.27,203.14482294274833
2022-01,11010,32340,WH,9.899999999999999,247.33333333333337
2022-01,11010,32350,EH,166.81,263.330735567412
2022-01,11010,32350,WH,2.39,267.0
2022-01,11010,32360,EH,619.51,185.53148456037837
2022-01,11010,32360,WH,52.23,155.60980279532836
2022-01,11010,32370,EH,141.17,208.53934972019553
2022-01,11010,32380,EH,228.59,212.60903801566124
2022-01,11010,32390,EH,309.03000000000003,211.33844610555607
2022-01,11010,32400,EH,230.41,261.462827134239
2022-01,11010,32400,WH,9.51,211.4111461619348
2022-01,11010,32410,EH,275.37,236.69088862258053
2022-01,11010,32410,WH,3.27,257.0
2022-01,11010,33020,EH,1428.47,195.79290429620502
