연도,월,필터링한_자치구코드,스트레스점수
2022,1,36010,19.238911439227373
2022,1,36020,20.06405114541661
2022,1,36030,20.074021056593775
2022,1,36040,16.638957470776667
2022,1,36060,21.831473014390017
2022,1,36310,19.78091058677268
2022,1,36320,19.65915393314849
2022,1,36330,21.513218988652284
2022,1,36350,25.248684978997776
2022,1,36360,23.65396822597471
2022,1,36370,20.641943053129697
2022,1,36380,24.507258711018647
2022,1,36390,23.063311500318683
2022,1,36400,24.4805415135889
2022,1,36410,20.99267059937222
2022,1,36420,20.44865828262898
2022,1,36430,19.69569349522557
2022,1,36440,20.615392378795782
2022,1,36450,19.134611303588994
2022,1,36460,26.544326895507258
2022,1,36470,26.00526652035103
2022,1,36480,25.098515351038344
2022,1,37011,21.32729173625846
2022,1,37012,21.104391818189804
2022,1,37020,19.756299956191107
2022,1,37030,14.997593201098853
2022,1,37040,17.07411779188693
2022,1,37050,17.948355340172586
2022,1,37060,14.446377525448915
2022,1,37070,20.57670124513272
2022,1,37080,15.62939411156692
2022,1,37090,14.024526850190405
2022,1,37100,18.897592250429454
2022,1,37310,19.56273401066887
2022,1,37320,19.705899970461704
2022,1,37330,20.89267868425358
2022,1,37340,23.81115895246057
2022,1,37350,23.46422141283402
2022,1,37360,21.109962179422485
2022,1,37370,19.677910682500592
2022,1,37380,18.291128182687018
2022,1,37390,18.766638881418164
2022,1,37400,16.40310443474949
2022,1,37410,17.85927952210924
2022,1,37420,22.33316443837194
2022,1,38030,23.29993025512828
2022,1,38050,25.536777457340456
2022,1,38060,23.779788666390516
2022,1,38070,19.016256457095917
2022,1,38080,20.518257696196645
2022,1,38090,26.826665590890325
2022,1,38100,20.825539223104084
2022,1,38111,22.221087050277745
2022,1,38112,21.74613127459789
2022,1,38113,24.131219295930425
2022,1,38114,23.086965264198064
2022,1,38115,22.80404204688788
2022,1,38310,24.428932216474088
2022,1,38320,24.601667224800607
2022,1,38330,23.6676799791336
2022,1,38340,25.867734030749784
2022,1,38350,27.092431586134936
2022,1,38360,25.456236960416586
2022,1,38370,22.947572081045948
2022,1,38380,20.90553263051591
2022,1,38390,21.20054659534647
2022,1,38400,21.932235727545994
2022,1,39010,12.78321974241936
2022,1,39020,16.791497338494786
