자치구코드,총이동인구수,평균이동시간,총이동시간,유입인구_norm,평균이동시간_norm,총이동시간_norm,출퇴근스트레스점수,모형,가중치_유입인구,가중치_평균이동시간,가중치_총이동시간
11020,9.24,971.5,8976.66,0.18104312938816453,0.30945347119645494,0.180195441192197,22.581721138187266,문헌기반,0.45,0.35,0.2
11130,2.07,1181.0,2444.6699999999996,0.0012537612838515503,0.6189069423929099,0.014667212233767836,22.01150648620052,문헌기반,0.45,0.35,0.2
32020,2.73,1152.0,3144.96,0.01780341023069208,0.5760709010339734,0.032413375877205504,21.61190251411432,문헌기반,0.45,0.35,0.2
35370,2.21,1153.0,2548.13,0.004764292878635907,0.5775480059084195,0.017289009047302326,20.77435356727934,문헌기반,0.45,0.35,0.2
36320,4.05,1088.0,4406.4,0.05090270812437312,0.4815361890694239,0.06437973362382189,20.431983155503065,문헌기반,0.45,0.35,0.2
11050,2.27,1142.0,2592.34,0.006268806419257774,0.5612998522895125,0.01840934190180029,20.295777957035543,문헌기반,0.45,0.35,0.2
11160,5.99,1013.5,6070.865,0.09954864593781346,0.37149187592319055,0.1065592139373698,19.613089003260672,문헌기반,0.45,0.35,0.2
22040,8.78,928.0,8147.839999999999,0.1695085255767302,0.24519940915805022,0.15919217775711436,19.393706526626904,문헌기반,0.45,0.35,0.2
11120,8.51,925.0,7871.75,0.16273821464393182,0.24076809453471196,0.1521957358254622,18.79401768420109,문헌기반,0.45,0.35,0.2
11210,2.21,1113.0,2459.73,0.004764292878635907,0.518463810930576,0.015048850161583709,18.66160356534045,문헌기반,0.45,0.35,0.2
23010,5.63,1000.0,5630.0,0.09052156469408225,0.3515509601181684,0.09538718172976418,18.285497649964878,문헌기반,0.45,0.35,0.2
33370,6.05,979.0,5922.95,0.1010531594784353,0.3205317577548006,0.10281087568419028,17.822221211631412,문헌기반,0.45,0.35,0.2
31220,3.28,1040.0,3411.2,0.03159478435305917,0.41063515509601184,0.03916020734478157,16.57719987114371,문헌기반,0.45,0.35,0.2
38112,2.72,1053.0,2864.1600000000003,0.017552657973921772,0.4298375184638109,0.02529757706374638,16.34013429633479,문헌기반,0.45,0.35,0.2
32010,5.38,936.0,5035.68,0.08425275827482448,0.2570162481536189,0.08032642122116365,14.393471232167036,문헌기반,0.45,0.35,0.2
36380,3.15,988.0,3112.2,0.028335005015045135,0.33382570162481534,0.0315831993489686,13.59063876952494,문헌기반,0.45,0.35,0.2
36030,6.220000000000001,858.0,5336.76,0.10531594784353063,0.14180206794682423,0.08795613883781705,11.46141280785407,문헌기반,0.45,0.35,0.2
24040,3.52,931.0,3277.12,0.03761283851554664,0.24963072378138848,0.03576246409368256,11.144902347421848,문헌기반,0.45,0.35,0.2
21030,6.05,821.0,4967.05,0.1010531594784353,0.08714918759231906,0.07858725714506785,9.169358885162113,문헌기반,0.45,0.35,0.2
32350,2.28,885.0,2017.7999999999997,0.00651955867602808,0.18168389955686853,0.003849829614461218,6.729313217200887,문헌기반,0.45,0.35,0.2
31230,2.7,870.0,2349.0,0.01705115346038115,0.15952732644017725,0.012242823086746353,6.595614792858282,문헌기반,0.45,0.35,0.2
31380,3.25,824.0,2678.0,0.030842527582748247,0.0915805022156573,0.020580065998527172,5.00483263874222,문헌기반,0.45,0.35,0.2
35040,2.19,852.0,1865.8799999999999,0.004262788365095285,0.1329394387001477,0.0,4.8447058309344575,문헌기반,0.45,0.35,0.2
23040,3.45,810.0,2794.5,0.03585757271815447,0.07090103397341212,0.023532311588869013,4.565773193163755,문헌기반,0.45,0.35,0.2
11190,3.1,814.0,2523.4,0.027081243731193586,0.07680945347119646,0.016662322064906157,4.240233280693711,문헌기반,0.45,0.35,0.2
31270,2.38,832.0,1980.1599999999999,0.00902708124373119,0.103397341211226,0.002895988206560218,4.083045362492017,문헌기반,0.45,0.35,0.2
11110,2.38,829.0,1973.02,0.00902708124373119,0.09896602658788774,0.0027150522965598716,3.9243306324751717,문헌기반,0.45,0.35,0.2
11060,2.29,831.0,1902.99,0.0067703109327983966,0.1019202363367799,0.0009404105910522409,3.890680475584269,문헌기반,0.45,0.35,0.2
25040,2.71,806.0,2184.2599999999998,0.017301905717151456,0.06499261447562776,0.008068119751528194,3.214689658949351,문헌기반,0.45,0.35,0.2
11170,3.51,762.0,2674.62,0.03736208625877633,0.0,0.020494412864661457,2.0911821389381644,문헌기반,0.45,0.35,0.2
11240,41.9,986.3333333333334,41327.36666666667,1.0,0.33136386016740527,1.0,97.5196099546029,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
11200,19.13,1095.5,20956.914999999997,0.429037111334002,0.49261447562776955,0.48378904629881303,45.769797005206634,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
35030,18.87,1003.8333333333334,18942.335000000003,0.422517552657974,0.3572131954702118,0.43273724439846245,42.50044605087792,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
36020,18.439999999999998,1013.4,18687.095999999998,0.41173520561685056,0.3713441654357459,0.4262691910745717,41.72188553486764,PCA기반,0.4825120187906898,0.037096260546402686,0.4803917206629074
