start_dt,arv_dt,start_emd,arv_emd,start_arv_place_type,mvmn_time_sum,popl_cnt,연도,출발_자치구코드,도착_자치구코드
2019-09-30 10:40:00,2019-10-01 00:00:00,2207075,1112067,EH,791,3.0,2019,22070,11120
2019-09-30 10:40:00,2019-10-01 00:00:00,3902013,1124061,EH,782,2.04,2019,39020,11240
2019-09-30 10:40:00,2019-10-01 00:20:00,1101071,2103066,EH,821,6.05,2019,11010,21030
2019-09-30 10:40:00,2019-10-01 00:20:00,1124061,2504067,EH,806,2.71,2019,11240,25040
2019-09-30 10:40:00,2019-10-01 00:40:00,1116069,3902013,EH,834,3.01,2019,11160,39020
2019-09-30 10:40:00,2019-10-01 01:00:00,1123058,3504053,HE,852,2.19,2019,11230,35040
2019-09-30 10:40:00,2019-10-01 01:20:00,1124054,3235013,HE,885,2.28,2019,11240,32350
2019-09-30 10:40:00,2019-10-01 01:20:00,2402066,1115054,EH,892,2.06,2019,24020,11150
2019-09-30 10:40:00,2019-10-01 01:40:00,3202038,1120071,EH,901,2.99,2019,32020,11200
2019-09-30 10:40:00,2019-10-01 03:40:00,1102069,3201035,EH,1017,2.07,2019,11020,32010
2019-09-30 10:40:00,2019-10-01 05:40:00,1124058,2301064,HE,1134,3.27,2019,11240,23010
2019-09-30 11:00:00,2019-10-01 00:20:00,3704051,1119068,WH,814,3.1,2019,37040,11190
2019-09-30 11:00:00,2019-10-01 00:40:00,3304453,1106087,EH,831,2.29,2019,33044,11060
2019-09-30 11:00:00,2019-10-01 01:00:00,1113072,3127034,EH,832,2.38,2019,11130,31270
2019-09-30 11:00:00,2019-10-01 01:00:00,3114052,1111053,EH,829,2.38,2019,31140,11110
2019-09-30 11:00:00,2019-10-01 01:20:00,1109065,3123035,EH,870,2.7,2019,11090,31230
2019-09-30 11:00:00,2019-10-01 04:20:00,1124064,2501057,HE,1031,3.29,2019,11240,25010
2019-09-30 11:00:00,2019-10-01 06:00:00,3231011,1105063,EH,1142,2.27,2019,32310,11050
2019-09-30 11:00:00,2019-10-01 06:00:00,3304158,1112073,HE,1151,2.21,2019,33041,11120
2019-09-30 11:00:00,2019-10-01 09:20:00,1111074,2901036,HE,1341,3.56,2019,11110,29010
2019-09-30 11:20:00,2019-10-01 00:00:00,3502069,1117067,HE,762,3.51,2019,35020,11170
2019-09-30 11:20:00,2019-10-01 00:20:00,1122060,3603036,EH,782,3.2,2019,11220,36030
2019-09-30 11:20:00,2019-10-01 00:40:00,3810012,1116052,EH,797,2.71,2019,38100,11160
2019-09-30 11:20:00,2019-10-01 01:00:00,1115052,3138035,HE,824,3.25,2019,11150,31380
2019-09-30 11:20:00,2019-10-01 01:00:00,1123064,3503069,EH,810,2.97,2019,11230,35030
2019-09-30 11:20:00,2019-10-01 01:00:00,3124037,1123076,EH,817,3.29,2019,31240,11230
2019-09-30 11:20:00,2019-10-01 01:00:00,3201038,1124080,EH,830,27.95,2019,32010,11240
2019-09-30 11:20:00,2019-10-01 07:40:00,1101053,2901053,HW,1201,3.26,2019,11010,29010
2019-09-30 11:20:00,2019-10-01 08:40:00,3203011,1122060,HE,1276,3.03,2019,32030,11220
2019-09-30 11:20:00,2019-10-01 10:00:00,3304412,1104055,HE,1347,4.04,2019,33044,11040
2019-09-30 11:20:00,2019-10-01 10:20:00,1104055,3902013,HE,1384,2.35,2019,11040,39020
2019-09-30 11:40:00,2019-10-01 01:00:00,1107054,2304065,HE,810,3.45,2019,11070,23040
2019-09-30 11:40:00,2019-10-01 01:00:00,1122060,3901066,HE,811,2.17,2019,11220,39010
2019-09-30 11:40:00,2019-10-01 01:00:00,3602052,1123064,EH,795,2.35,2019,36020,11230
2019-09-30 11:40:00,2019-10-01 01:20:00,1102055,3501166,EH,814,2.07,2019,11020,35011
2019-09-30 11:40:00,2019-10-01 02:00:00,1104073,3119134,EH,851,19.48,2019,11040,31191
2019-09-30 11:40:00,2019-10-01 02:00:00,3201058,1103069,HW,862,2.71,2019,32010,11030
2019-09-30 11:40:00,2019-10-01 04:00:00,1122057,3901014,HE,972,3.03,2019,11220,39010
2019-09-30 11:40:00,2019-10-01 05:00:00,1120053,3122041,HE,1040,3.28,2019,11200,31220
2019-09-30 11:40:00,2019-10-01 06:00:00,3401212,1123066,HE,1099,6.05,2019,34012,11230
2019-09-30 11:40:00,2019-10-01 07:20:00,1123072,3431011,EH,1164,3.81,2019,11230,34310
2019-09-30 11:40:00,2019-10-01 10:00:00,2105064,1103073,HE,1328,2.07,2019,21050,11030
